序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,896.0,-1.3,206.84亿
2,sh600176,中国巨石,47.15,-0.506,178.14亿
3,sh600487,亨通光电,68.49,4.725,158.91亿
4,sz300502,新易盛,424.34,0.153,150.86亿
5,sz000725,京东方Ａ,5.75,5.505,132.94亿
6,sh600183,生益科技,146.03,-5.47,127.92亿
7,sz300394,天孚通信,277.65,3.412,126.86亿
8,sz002384,东山精密,193.53,0.797,115.02亿
9,sz002281,光迅科技,191.22,3.245,113.96亿
10,sh688825,长鑫科技,53.47,-2.958,111.64亿
11,sh600522,中天科技,36.39,3.41,111.50亿
12,sh600105,永鼎股份,45.14,-0.177,105.85亿
13,sz300750,宁德时代,304.3,-0.386,105.42亿
14,sh688256,寒武纪,1105.99,-2.643,97.71亿
15,sh601899,紫金矿业,30.9,-3.948,95.23亿
16,sh603986,兆易创新,369.88,-0.874,87.15亿
17,sz000636,风华高科,56.65,-3.295,73.74亿
18,sh688802,沐曦股份,546.5,14.436,71.75亿
19,sz301526,国际复材,32.16,0.343,71.20亿
20,sh600206,有研新材,50.55,-2.092,70.67亿
