序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,603459,N红板,57.7,225.99,40.0,640788.0,3545994004.0,105.03,67.59,49.0,52.0,17.7,,81.06,80.56,16.27,43491582028.0,4561292207.0,0.0,0.19,225.99,225.99
2,920011,N晨光,29.04,87.35,13.54,172546.0,511794572.46,22.9,32.05,28.5,30.0,15.5,,92.77,25.68,3.25,2400640010.0,540144029.0,0.17,0.21,87.35,87.35
3,920171,志晟信息,21.09,29.94,4.86,81653.0,158466537.04,26.25,21.09,16.83,16.86,16.23,4.68,12.07,441.4,9.67,2113918926.0,1426358458.0,0.0,0.0,-9.33,-9.87
4,300209,行云科技,11.69,20.02,1.95,750311.0,856084809.27,14.27,11.69,10.3,10.66,9.74,0.94,10.21,-587.74,10.96,10855756313.0,8587004483.0,0.0,0.0,111.39,114.5
5,300058,蓝色光标,16.31,20.01,2.72,5841316.0,9033534771.6,15.82,16.31,14.16,14.16,13.59,1.87,16.79,224.43,7.38,58556508212.0,56759285353.0,0.0,0.0,18.02,41.58
6,301232,飞沃科技,184.74,20.0,30.79,107837.0,1928251616.78,18.02,184.74,157.0,159.0,153.95,1.75,24.14,226.43,9.84,13885491985.0,8251830536.0,0.0,0.0,-2.77,9.72
7,301070,开勒股份,91.2,20.0,15.2,112013.0,958500630.63,21.3,91.2,75.01,75.01,76.0,2.9,18.87,285.38,10.46,8228961408.0,5413157760.0,0.0,0.0,42.06,48.17
8,688655,迅捷兴,29.04,20.0,4.84,119917.0,327551729.0,17.52,29.04,24.8,25.0,24.2,1.57,8.99,-173.09,5.9,3873645600.0,3873645600.0,0.0,0.0,64.07,69.53
9,300475,香农芯创,148.18,20.0,24.7,596991.0,8542211312.55,9.32,148.18,136.67,145.71,123.48,2.6,13.4,126.59,19.27,68886772954.0,65996373874.0,0.0,0.0,-9.09,2.66
10,688630,芯碁微装,240.0,20.0,40.0,122310.0,2828557865.0,15.0,240.0,210.0,210.0,200.0,2.5,9.28,109.05,13.7,31617771840.0,31617771840.0,0.0,0.0,68.52,78.4
11,688693,锴威特,66.92,19.99,11.15,82385.0,509166256.0,19.58,66.92,56.0,57.0,55.77,1.23,21.18,-54.03,6.16,4930947400.0,2603483385.0,0.0,0.0,75.28,78.74
12,300571,平治信息,36.61,19.99,6.1,249477.0,880119906.74,16.36,36.61,31.62,31.62,30.51,2.49,21.57,515.49,3.52,5108130843.0,4233476977.0,0.0,0.0,27.56,32.41
13,300679,电连技术,40.16,19.99,6.69,468548.0,1780563406.46,18.82,40.16,33.86,34.13,33.47,7.82,13.04,34.32,3.39,17060771200.0,14435164415.0,0.0,0.0,-19.36,-17.5
