序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301171,易点天下,48.88,16.58,6.95,768984,36.13 亿,13.83,48.99,43.19,43.69,41.93,20.12,145.89,6.22,Kimi概念
2,300170,汉得信息,20.76,12.76,2.35,982323,19.74 亿,9.18,20.78,19.09,19.1,18.41,10.05,109.59,3.83,Kimi概念
3,300785,值得买,52.49,12.21,5.71,200320,10.26 亿,9.83,52.6,48.0,48.0,46.78,16.37,582.1,5.53,Kimi概念
4,300364,中文在线,29.83,12.1,3.22,1359370,39.19 亿,11.42,30.24,27.2,27.45,26.61,20.58,-31.32,45.97,Kimi概念
5,300634,彩讯股份,26.31,11.44,2.7,254313,6.46 亿,8.47,26.33,24.33,24.35,23.61,5.86,45.34,4.07,Kimi概念
6,600986,浙文互联,10.1,10.02,0.92,959908,9.47 亿,7.08,10.1,9.45,9.46,9.18,6.45,175.65,2.9,Kimi概念
7,300624,万兴科技,71.95,9.85,6.45,138716,9.72 亿,7.21,71.98,67.26,67.5,65.5,8.1,-169.39,12.88,Kimi概念
8,300442,润泽科技,86.91,9.31,7.4,582244,49.62 亿,4.99,86.92,82.95,83.1,79.51,3.58,22.65,10.49,Kimi概念
9,300781,因赛集团,37.15,8.47,2.9,96653,3.53 亿,6.66,37.29,35.01,35.03,34.25,7.98,167.06,9.13,Kimi概念
10,300352,北信源,6.88,7.33,0.47,672690,4.52 亿,5.3,6.89,6.55,6.55,6.41,5.27,-45.03,8.1,Kimi概念
11,688111,金山办公,242.78,6.86,15.58,73169,17.55 亿,4.7,243.0,232.32,232.5,227.2,1.58,61.26,8.75,Kimi概念
12,002555,三七互娱,22.94,5.96,1.29,493943,11.18 亿,3.33,22.96,22.24,22.3,21.65,3.09,16.23,3.77,Kimi概念
13,600880,博瑞传播,4.98,5.73,0.27,306294,1.50 亿,4.46,4.98,4.77,4.78,4.71,2.8,520.41,1.79,Kimi概念
14,002432,九安医疗,87.59,5.71,4.73,372505,32.15 亿,6.4,88.8,83.5,84.43,82.86,8.5,19.22,1.84,Kimi概念
15,300188,国投智能,12.64,4.29,0.52,120710,1.51 亿,2.39,12.64,12.35,12.36,12.12,1.41,-22.29,3.51,Kimi概念
