排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,Kimi概念,BK1169,1328.95,108.77,8.91,5001.86 亿,6.27,16,0,浙文互联,10.02
2,Sora概念,BK1159,1825.52,139.14,8.25,4850.54 亿,7.25,33,0,蓝色光标,20.01
3,智谱AI概念,BK1182,1298.04,98.06,8.17,4647.62 亿,6.2,34,0,平治信息,19.99
4,ChatGPT概念,BK1126,2140.62,147.88,7.42,12847.45 亿,4.86,67,0,蓝色光标,20.01
5,纳米银,BK0855,2934.82,201.47,7.37,944.66 亿,5.87,7,0,行云科技,20.02
