序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,688.14,11.07,264.80 亿
2,300502,新易盛,501.5,9.33,229.06 亿
3,603986,兆易创新,255.96,2.52,188.67 亿
4,300394,天孚通信,337.0,6.19,153.98 亿
5,300750,宁德时代,391.3,1.74,143.15 亿
6,601899,紫金矿业,34.62,6.82,140.77 亿
7,601138,工业富联,56.61,7.66,138.75 亿
8,300476,胜宏科技,285.88,7.93,127.82 亿
9,688256,寒武纪,1164.0,4.02,121.36 亿
10,600487,亨通光电,58.56,-0.24,113.09 亿
11,002475,立讯精密,52.27,8.02,103.42 亿
12,300274,阳光电源,126.99,3.85,99.95 亿
13,000988,华工科技,110.41,5.96,99.47 亿
14,300058,蓝色光标,16.31,20.01,90.34 亿
15,300475,香农芯创,148.18,20.0,85.42 亿
16,688525,佰维存储,229.68,5.64,84.13 亿
17,603993,洛阳钼业,19.14,8.75,83.54 亿
18,002463,沪电股份,84.07,10.0,81.45 亿
19,601869,长飞光纤,362.1,1.4,77.34 亿
20,000617,中油资本,10.39,-9.89,75.88 亿
