序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,813.0,-1.143,176.91亿
2,sh688825,长鑫科技,55.55,2.264,111.63亿
3,sz300502,新易盛,384.76,-0.502,101.15亿
4,sz000977,浪潮信息,86.35,0.77,96.88亿
5,sz300750,宁德时代,349.5,0.347,92.36亿
6,sh603986,兆易创新,383.2,-1.456,91.99亿
7,sh600183,生益科技,143.19,-1.235,90.63亿
8,sh600176,中国巨石,42.63,-3.399,88.45亿
9,sh600487,亨通光电,65.29,-2.407,86.18亿
10,sz002384,东山精密,179.16,-2.328,79.44亿
11,sh600869,远东股份,21.05,7.949,76.17亿
12,sh688256,寒武纪,1099.99,-0.723,71.67亿
13,sz300475,香农芯创,175.61,4.654,70.09亿
14,sh603618,杭电股份,39.25,5.454,64.41亿
15,sz300394,天孚通信,248.81,-0.476,63.19亿
16,sh601318,中国平安,58.0,2.419,63.10亿
17,sh600172,黄河旋风,15.92,7.932,60.92亿
18,sz002837,英维克,68.49,3.412,60.21亿
19,sz000938,紫光股份,38.13,0.369,59.72亿
20,sh601138,工业富联,63.2,2.265,58.07亿
