排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,交运设备,BK0429,11758.86,392.66,3.45,6889.88 亿,2.59,39,10,神州高铁,10.1
2,昨日打二板以上表现,BK1645,1518.05,26.5,1.78,574.25 亿,24.42,3,2,神剑股份,10.0
3,昨日首板,BK1630,1572.48,23.05,1.49,7721.57 亿,6.95,28,17,闽发铝业,10.09
4,CRO,BK0899,1857.24,26.77,1.46,7169.99 亿,3.05,23,13,凯莱英,10.0
5,昨日涨停_含一字,BK1050,31064.38,379.26,1.24,13260.20 亿,9.36,43,30,闽发铝业,10.09
