序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,神剑股份,002361,4.0,4天4板,10.0,16.5,31.49 亿,133.51 亿,156.92 亿,23.703197479248047,217816500.0,093057,142139,4,塑料,,,
2,津药药业,600488,3.0,3天3板,10.084033966064453,5.24,4.67 亿,57.21 亿,57.21 亿,8.222428321838379,54451187.0,093042,093703,2,化学制药,,,
3,闽发铝业,002578,2.0,2天2板,10.093896865844727,4.69,3.73 亿,40.39 亿,44.02 亿,9.243043899536133,58267950.0,093003,093003,0,工业金属,,,
4,神州高铁,000008,2.0,2天2板,10.1010103225708,3.27,5.24 亿,88.82 亿,88.83 亿,5.955018520355225,212429415.0,093118,093118,0,轨交设备,,,
5,棒杰股份,002634,2.0,2天2板,9.963099479675293,8.94,3.12 亿,39.92 亿,41.07 亿,7.904372215270996,16779700.0,093136,130212,1,服装家纺,,,
6,平潭发展,000592,2.0,5天3板,9.9827880859375,12.78,55.70 亿,244.75 亿,246.88 亿,23.249568939208984,187515764.0,093648,132657,6,林业Ⅱ,,,
7,安徽建工,600502,2.0,2天2板,9.9609375,5.63,9.49 亿,96.64 亿,96.64 亿,9.955951690673828,82586807.0,100956,100956,0,基础建设,,,
8,宏昌科技,301008,2.0,2天2板,20.005674362182617,42.29,11.59 亿,48.99 亿,55.38 亿,24.920867919921875,123224009.0,131221,131221,0,家电零部,,,
17,凯莱英,002821,1.0,首板,10.0,110.77,18.73 亿,351.19 亿,399.74 亿,5.363607883453369,42748358.0,093412,131639,3,医疗服务,,,
32,金鹰重工,301048,1.0,首板,19.98166847229004,13.09,6.12 亿,69.81 亿,69.81 亿,9.212003707885742,31972325.0,100942,100942,0,轨交设备,,,
33,中铁工业,600528,1.0,首板,9.952038764953613,9.17,13.27 亿,203.72 亿,203.72 亿,6.704940319061279,111057870.0,101209,101424,1,基础建设,,,
34,晋西车轴,600495,1.0,首板,10.044642448425293,4.93,3.47 亿,59.56 亿,59.56 亿,5.946409702301025,62534939.0,101552,104029,2,轨交设备,,,
44,钱江摩托,000913,1.0,首板,10.033002853393555,16.67,5.49 亿,86.70 亿,87.78 亿,6.512219429016113,56337932.0,132624,140039,4,摩托车及,,,
53,万邦德,002082,1.0,6天4板,10.018214225769043,30.2,20.09 亿,167.08 亿,184.73 亿,12.739083290100098,30816080.0,145042,145145,1,化学制药,,,
3,中衡设计,603017,0.0,2天1板,3.55329966545105,16.32,11.46 亿,45.07 亿,45.07 亿,24.914466857910156,,093211,,3,工程咨询,17.34,0.0,11.611675262451172
7,昭衍新药,603127,0.0,0天0板,6.542056083679199,34.2,19.15 亿,215.58 亿,256.28 亿,8.848100662231445,,094404,,1,医疗服务,35.31,0.05851375311613083,10.342679023742676
8,杭电股份,603618,0.0,5天3板,6.66417121887207,28.49,41.21 亿,196.97 亿,196.97 亿,20.988754272460938,,095128,,3,电网设备,29.38,0.0,10.033695220947266
12,再升科技,603601,0.0,5天3板,6.8275861740112305,15.49,70.71 亿,176.95 亿,176.95 亿,40.1035041809082,,095827,,7,专业工程,15.95,-0.12894906103610992,11.931034088134766
14,海泰新光,688677,0.0,2天1板,14.342462539672852,54.69,7.94 亿,65.56 亿,65.56 亿,12.437732696533203,,102607,,1,医疗器械,57.4,0.0,16.516830444335938
