序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301008,宏昌科技,42.29,20.01,7.05,288691.0,11.59 亿,12.6,42.29,37.85,41.45,35.24,24.92,164.91,3.7,昨日涨停_含一字
2,688677,海泰新光,54.69,14.34,6.86,149100.0,7.94 亿,16.52,57.4,49.5,49.8,47.83,12.44,38.2,4.87,昨日涨停_含一字
3,000008,神州高铁,3.27,10.1,0.3,1617560.0,5.24 亿,4.71,3.27,3.13,3.25,2.97,5.96,-76.38,3.03,昨日涨停_含一字
4,002578,闽发铝业,4.69,10.09,0.43,795976.0,3.73 亿,2.11,4.69,4.6,4.67,4.26,9.24,-406.93,2.9,昨日涨停_含一字
5,600488,津药药业,5.24,10.08,0.48,897796.0,4.67 亿,5.67,5.24,4.97,4.99,4.76,8.22,61.71,1.89,昨日涨停_含一字
6,002361,神剑股份,16.5,10.0,1.5,1917880.0,31.49 亿,4.47,16.5,15.83,16.15,15.0,23.7,388.16,7.09,昨日涨停_含一字
7,000592,平潭发展,12.78,9.98,1.16,4452508.0,55.70 亿,7.75,12.78,11.88,12.06,11.62,23.25,592.88,12.87,昨日涨停_含一字
8,002634,棒杰股份,8.94,9.96,0.81,352942.0,3.12 亿,6.64,8.94,8.4,8.7,8.13,7.9,-3.4,-6.76,昨日涨停_含一字
9,600502,安徽建工,5.63,9.96,0.51,1708973.0,9.49 亿,5.47,5.63,5.35,5.43,5.12,9.96,6.33,0.8,昨日涨停_含一字
10,603016,新宏泰,48.13,6.91,3.11,98527.0,4.59 亿,11.04,48.97,44.0,45.6,45.02,6.65,111.86,8.65,昨日涨停_含一字
11,603601,再升科技,15.49,6.83,0.99,4581188.0,70.71 亿,11.93,15.95,14.22,14.5,14.5,40.1,163.33,7.26,昨日涨停_含一字
12,603618,杭电股份,28.49,6.66,1.78,1451111.0,41.21 亿,10.03,29.38,26.7,27.0,26.71,20.99,-67.35,7.26,昨日涨停_含一字
13,600343,航天动力,34.38,5.52,1.8,1294979.0,44.36 亿,9.73,35.75,32.58,32.58,32.58,20.29,-113.93,16.95,昨日涨停_含一字
14,002168,*ST惠程,4.18,5.03,0.2,145276.0,6068.91 万,0.25,4.18,4.17,4.17,3.98,1.85,-41.48,204.99,昨日涨停_含一字
15,603261,*ST立航,36.16,4.84,1.67,17060.0,6125.80 万,4.99,36.21,34.49,35.0,34.49,2.2,-47.34,4.17,昨日涨停_含一字
