序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301048,金鹰重工,13.09,19.98,2.18,491307,6.12 亿,20.9,13.09,10.81,10.81,10.91,9.21,41.83,2.55,交运设备
2,920058,华洋赛车,33.17,18.08,5.08,36109,1.14 亿,23.14,35.0,28.5,28.5,28.09,13.09,37.07,5.36,交运设备
3,920027,交大铁发,21.78,15.97,3.0,107748,2.31 亿,23.43,22.9,18.5,18.5,18.78,25.53,39.18,3.77,交运设备
4,300960,通业科技,27.49,14.59,3.5,104376,2.79 亿,16.3,27.99,24.08,24.08,23.99,7.98,75.26,6.13,交运设备
5,000008,神州高铁,3.27,10.1,0.3,1617560,5.24 亿,4.71,3.27,3.13,3.25,2.97,5.96,-76.38,3.03,交运设备
6,600495,晋西车轴,4.93,10.04,0.45,718440,3.47 亿,10.04,4.93,4.48,4.48,4.48,5.95,202.01,1.82,交运设备
7,000913,钱江摩托,16.67,10.03,1.52,338704,5.49 亿,11.82,16.67,14.88,15.0,15.15,6.51,20.55,1.86,交运设备
8,600528,中铁工业,9.17,9.95,0.83,1489537,13.27 亿,10.07,9.17,8.33,8.36,8.34,6.7,14.9,0.81,交运设备
9,920541,铁大科技,13.02,6.81,0.83,61316,8026.45 万,13.54,13.59,11.94,12.07,12.19,6.81,25.06,3.81,交运设备
10,603787,新日股份,16.56,5.81,0.91,365626,5.88 亿,14.12,17.11,14.9,15.28,15.65,15.89,24.69,2.4,交运设备
11,001696,宗申动力,19.9,5.46,1.03,557809,10.90 亿,5.35,19.97,18.96,19.2,18.87,6.26,22.55,4.16,交运设备
12,688569,铁科轨道,21.86,5.3,1.1,67062,1.46 亿,8.86,22.49,20.65,20.65,20.76,3.18,26.89,1.56,交运设备
13,300906,日月明,33.45,5.02,1.6,45079,1.50 亿,7.54,34.19,31.79,32.04,31.85,6.24,55.06,2.97,交运设备
14,300994,久祺股份,16.52,4.82,0.76,176577,2.88 亿,6.92,16.85,15.76,16.01,15.76,15.14,22.34,3.21,交运设备
15,688285,高铁电气,9.23,4.53,0.4,217436,2.04 亿,11.44,9.75,8.74,8.77,8.83,5.78,67.49,2.06,交运设备
