序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,301008,宏昌科技,42.29,20.01,7.05,288691.0,11.59 亿,12.6,42.29,37.85,41.45,35.24,24.92,164.91,3.7,昨日首板
2,688677,海泰新光,54.69,14.34,6.86,149100.0,7.94 亿,16.52,57.4,49.5,49.8,47.83,12.44,38.2,4.87,昨日首板
3,000008,神州高铁,3.27,10.1,0.3,1617560.0,5.24 亿,4.71,3.27,3.13,3.25,2.97,5.96,-76.38,3.03,昨日首板
4,002578,闽发铝业,4.69,10.09,0.43,795976.0,3.73 亿,2.11,4.69,4.6,4.67,4.26,9.24,-406.93,2.9,昨日首板
5,600502,安徽建工,5.63,9.96,0.51,1708973.0,9.49 亿,5.47,5.63,5.35,5.43,5.12,9.96,6.33,0.8,昨日首板
6,002634,棒杰股份,8.94,9.96,0.81,352942.0,3.12 亿,6.64,8.94,8.4,8.7,8.13,7.9,-3.4,-6.76,昨日首板
7,603016,新宏泰,48.13,6.91,3.11,98527.0,4.59 亿,11.04,48.97,44.0,45.6,45.02,6.65,111.86,8.65,昨日首板
8,600343,航天动力,34.38,5.52,1.8,1294979.0,44.36 亿,9.73,35.75,32.58,32.58,32.58,20.29,-113.93,16.95,昨日首板
9,002168,*ST惠程,4.18,5.03,0.2,145276.0,6068.91 万,0.25,4.18,4.17,4.17,3.98,1.85,-41.48,204.99,昨日首板
10,000048,京基智农,23.66,4.64,1.05,375302.0,8.87 亿,5.22,24.24,23.06,23.3,22.61,7.13,31.59,2.97,昨日首板
11,603716,塞力医疗,23.65,3.96,0.9,414833.0,9.78 亿,5.1,24.06,22.9,23.3,22.75,19.62,-42.99,4.7,昨日首板
12,603017,中衡设计,16.32,3.55,0.56,688113.0,11.46 亿,11.61,17.34,15.51,16.2,15.76,24.91,60.08,3.04,昨日首板
13,603358,华达科技,34.5,3.51,1.17,357543.0,12.32 亿,7.65,35.98,33.43,33.85,33.33,7.85,30.9,4.23,昨日首板
14,002370,亚太药业,7.43,3.48,0.25,1390564.0,10.14 亿,10.31,7.78,7.04,7.18,7.18,18.65,42.75,4.94,昨日首板
15,003036,泰坦股份,27.86,2.8,0.76,211833.0,5.91 亿,7.49,28.88,26.85,26.91,27.1,9.8,107.29,4.36,昨日首板
