序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002821,凯莱英,110.77,10.0,10.07,170050.0,18.73 亿,5.06,110.77,105.67,105.67,100.7,5.36,35.3,2.26,CRO
2,301201,诚达药业,51.7,9.0,4.27,191695.0,9.80 亿,13.49,54.1,47.7,47.7,47.43,17.66,357.65,3.76,CRO
3,301333,诺思格,68.65,7.86,5.0,57168.0,3.93 亿,14.52,73.08,63.84,63.84,63.65,5.93,48.43,3.37,CRO
4,603127,昭衍新药,34.2,6.54,2.1,557743.0,19.15 亿,10.34,35.31,31.99,32.0,32.1,8.85,86.04,3.08,CRO
5,300759,康龙化成,27.98,4.56,1.22,555936.0,15.75 亿,6.09,29.09,27.46,27.69,26.76,3.91,30.9,3.3,CRO
6,002250,联化科技,16.56,3.44,0.55,269136.0,4.41 亿,5.06,16.74,15.93,15.93,16.01,3.01,35.39,2.27,CRO
7,688131,皓元医药,69.31,3.08,2.07,66883.0,4.66 亿,5.65,71.09,67.29,67.29,67.24,3.15,59.33,4.67,CRO
8,301230,泓博医药,40.61,2.99,1.18,189144.0,7.65 亿,5.6,41.8,39.59,40.17,39.43,15.06,122.35,5.52,CRO
9,300683,海特生物,43.36,2.9,1.22,223589.0,9.86 亿,10.47,45.95,41.54,42.12,42.14,18.32,-26.93,2.54,CRO
10,301393,昊帆生物,52.01,2.79,1.41,26034.0,1.37 亿,8.04,54.09,50.02,50.58,50.6,6.18,42.45,2.39,CRO
11,603229,奥翔药业,10.12,2.22,0.22,173065.0,1.75 亿,4.75,10.33,9.86,9.9,9.9,2.08,30.44,3.58,CRO
12,300347,泰格医药,53.83,2.18,1.15,215282.0,11.67 亿,5.81,55.98,52.92,53.11,52.68,3.8,52.2,2.21,CRO
13,688073,毕得医药,55.4,2.03,1.1,12989.0,7286.18 万,6.24,57.88,54.49,54.49,54.3,3.0,33.08,2.46,CRO
14,688710,益诺思,71.0,1.72,1.2,30221.0,2.10 亿,6.63,71.55,66.92,69.79,69.8,3.33,-328.01,4.31,CRO
15,603259,药明康德,98.1,1.54,1.49,526440.0,52.15 亿,3.58,100.21,96.75,96.75,96.61,2.13,15.28,3.67,CRO
