序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,898.46,10.376,376.35亿
2,sz300502,新易盛,417.2,8.083,209.18亿
3,sh688825,长鑫科技,58.47,6.697,204.93亿
4,sz002384,东山精密,190.55,6.649,136.89亿
5,sz300394,天孚通信,267.0,7.358,136.07亿
6,sh603986,兆易创新,385.44,3.646,134.12亿
7,sh600183,生益科技,148.15,7.745,121.69亿
8,sh601138,工业富联,66.57,4.522,115.06亿
9,sh688256,寒武纪,1092.38,1.901,110.26亿
10,sz000977,浪潮信息,74.74,-3.834,109.41亿
11,sz002463,沪电股份,122.65,10.0,96.14亿
12,sh688498,源杰科技,1702.0,16.098,90.05亿
13,sh600487,亨通光电,64.0,2.861,89.34亿
14,sh600150,中国船舶,38.38,2.429,88.47亿
15,sz300750,宁德时代,348.2,-0.798,85.81亿
16,sz300857,协创数据,274.03,8.355,83.19亿
17,sz002281,光迅科技,184.47,10.0,76.91亿
18,sh688008,澜起科技,197.82,5.392,74.72亿
19,sz300476,胜宏科技,233.46,6.36,73.68亿
20,sh600176,中国巨石,41.7,3.783,72.00亿
