序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300502,新易盛,622.71,7.64,258.76 亿
2,300308,中际旭创,886.62,2.52,257.05 亿
3,601138,工业富联,66.89,8.92,203.98 亿
4,300750,宁德时代,436.35,-0.98,201.74 亿
5,300394,天孚通信,375.41,6.35,189.06 亿
6,002837,英维克,104.2,-4.38,161.19 亿
7,002475,立讯精密,68.03,3.47,159.64 亿
8,300476,胜宏科技,342.78,3.59,157.51 亿
9,002384,东山精密,186.34,10.0,150.39 亿
10,601899,紫金矿业,35.53,-0.36,132.55 亿
11,600487,亨通光电,65.78,10.0,130.96 亿
12,000988,华工科技,120.95,4.02,126.75 亿
13,300058,蓝色光标,19.24,2.39,110.12 亿
14,603986,兆易创新,313.98,2.52,105.60 亿
15,600522,中天科技,34.82,7.34,102.26 亿
16,300857,协创数据,260.76,19.99,100.67 亿
17,600118,中国卫星,97.58,-2.61,98.14 亿
18,002281,光迅科技,123.97,1.79,97.91 亿
19,603083,剑桥科技,172.18,6.83,97.58 亿
20,000938,紫光股份,29.92,8.37,95.70 亿
