排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,2054.31,126.64,6.57,670.64 亿,10.27,5,0,金 螳 螂,10.02
2,光通信模块,BK1136,3816.37,182.78,5.03,57161.28 亿,7.84,77,6,永鼎股份,10.0
3,CPO概念,BK1128,8419.45,382.37,4.76,59460.74 亿,5.38,46,3,永鼎股份,10.0
4,光纤概念,BK1660,1204.12,46.76,4.04,34818.35 亿,4.17,56,9,永鼎股份,10.0
5,EDR概念,BK1049,1945.23,71.11,3.79,3584.71 亿,2.43,10,3,协创数据,19.99
