序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688048,长光华芯,372.91,20.0,62.15,220516,79.84 亿,16.38,372.91,322.0,322.0,310.76,12.51,3668.63,21.81,光纤概念
2,688143,长盈通,78.76,15.06,10.31,200953,15.08 亿,17.24,79.5,67.7,67.77,68.45,16.42,436.46,7.52,光纤概念
3,920045,蘅东光,624.69,12.96,71.68,17944,10.65 亿,16.27,636.0,546.02,554.98,553.01,8.92,140.89,39.49,光纤概念
4,603618,杭电股份,28.55,10.02,2.6,747330,20.35 亿,12.52,28.55,25.3,26.42,25.95,10.81,61.04,7.3,光纤概念
5,600184,光电股份,25.85,10.0,2.35,344355,8.65 亿,10.0,25.85,23.5,23.5,23.5,5.91,458.04,4.45,光纤概念
6,600105,永鼎股份,45.53,10.0,4.14,707703,31.54 亿,10.0,45.53,41.39,41.39,41.39,4.84,104.78,20.06,光纤概念
7,600487,亨通光电,65.78,10.0,5.98,2036964,130.96 亿,10.42,65.78,59.55,59.7,59.8,8.33,51.22,5.27,光纤概念
8,002428,云南锗业,75.24,10.0,6.84,714571,52.58 亿,9.81,75.24,68.53,68.53,68.4,10.94,2439.23,33.68,光纤概念
9,600869,远东股份,17.18,9.99,1.56,2089376,34.60 亿,14.15,17.18,14.97,15.7,15.62,9.41,98.65,8.86,光纤概念
10,002429,兆驰股份,11.91,8.37,0.92,2606399,30.56 亿,10.56,12.09,10.93,10.96,10.99,5.76,40.42,3.29,光纤概念
11,601869,长飞光纤,412.0,7.97,30.42,202629,81.81 亿,9.35,417.96,382.29,382.29,381.58,4.99,419.17,24.71,光纤概念
12,600522,中天科技,34.82,7.34,2.38,3003972,102.26 亿,7.21,34.84,32.5,32.54,32.44,8.8,38.12,3.25,光纤概念
13,688313,仕佳光子,145.98,7.06,9.63,462422,67.16 亿,9.67,152.1,138.91,138.91,136.35,10.23,141.99,39.78,光纤概念
14,300620,光库科技,274.52,6.89,17.7,228109,61.72 亿,9.29,279.86,256.0,259.08,256.82,9.23,382.27,31.03,光纤概念
15,300395,菲利华,120.13,6.88,7.73,428379,49.79 亿,8.79,121.48,111.6,111.9,112.4,8.37,141.0,13.79,光纤概念
