序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,金 螳 螂,002081,4.0,4天4板,10.022271156311035,4.94,3.03 亿,130.64 亿,131.17 亿,2.319101572036743,227115931.0,092500,092500,0,装修装饰,,,
2,金富科技,003018,4.0,8天5板,10.010537147521973,52.2,10.36 亿,123.92 亿,135.72 亿,8.42809772491455,76822740.0,093103,101442,14,包装印刷,,,
14,永鼎股份,600105,1.0,首板,10.002416610717773,45.53,31.54 亿,665.65 亿,665.65 亿,4.840669631958008,403850280.0,093715,093715,0,通信设备,,,
17,三安光电,600703,1.0,4天2板,10.014727592468262,14.94,31.20 亿,745.36 亿,745.36 亿,4.286534309387207,403343830.0,094457,094457,0,光学光电,,,
18,杭电股份,603618,1.0,首板,10.019268035888672,28.55,20.35 亿,197.39 亿,197.39 亿,10.809316635131836,120371939.0,094946,095328,1,电网设备,,,
19,长光华芯,688048,1.0,首板,19.999357223510742,372.91,79.84 亿,657.37 亿,657.37 亿,12.509422302246094,111567586.0,095026,133023,4,半导体,,,
22,光电股份,600184,1.0,3天2板,10.0,25.85,8.65 亿,150.64 亿,150.64 亿,5.909364700317383,102687884.0,095710,095710,0,地面兵装,,,
26,天通股份,600330,1.0,4天3板,9.991497039794922,25.87,51.42 亿,319.09 亿,319.09 亿,16.81162452697754,289003522.0,101334,101334,0,电子化学,,,
28,沃格光电,603773,1.0,10天6板,9.998291015625,64.36,15.40 亿,144.59 亿,144.64 亿,11.10272216796875,101796023.0,101430,101430,0,光学光电,,,
29,亨通光电,600487,1.0,首板,10.0,65.78,130.96 亿,1608.44 亿,1622.39 亿,8.330522537231445,84210043.0,102119,131822,12,通信设备,,,
37,云南锗业,002428,1.0,4天3板,10.0,75.24,52.58 亿,491.34 亿,491.41 亿,10.942293167114258,117259734.0,110206,110206,0,小金属,,,
42,东山精密,002384,1.0,首板,10.0,186.34,150.39 亿,2583.27 亿,3413.02 亿,6.004209518432617,693081194.0,112803,130724,1,元件,,,
44,晶赛科技,920981,1.0,首板,29.996929168701172,42.34,4.51 亿,15.80 亿,32.38 亿,31.168418884277344,32648585.0,131619,131619,0,元件,,,
48,远东股份,600869,1.0,首板,9.98719596862793,17.18,34.60 亿,381.28 亿,381.28 亿,9.414350509643555,1408760.0,132343,145607,11,电网设备,,,
52,鹏鼎控股,002938,1.0,首板,10.007220268249512,76.18,35.85 亿,1759.33 亿,1765.89 亿,2.104336738586426,120958299.0,140915,141209,2,元件,,,
3,圣龙股份,603178,0.0,4天3板,0.3795066475868225,21.16,12.98 亿,50.02 亿,50.02 亿,24.44993782043457,,093046,,3,汽车零部,23.19,-0.282752126455307,10.009488105773926
12,株冶集团,600961,0.0,5天4板,9.165731430053711,29.18,56.96 亿,219.38 亿,313.06 亿,26.318552017211914,,103300,,19,工业金属,29.4,-0.23931623995304108,7.070706844329834
19,紫光股份,000938,0.0,0天0板,8.366534233093262,29.92,95.70 亿,855.73 亿,855.74 亿,11.2981538772583,,132954,,1,IT服务Ⅱ,30.37,0.0,10.575878143310547
20,兆驰股份,002429,0.0,0天0板,8.371246337890625,11.91,30.56 亿,538.85 亿,539.16 亿,5.760847091674805,,141936,,2,黑色家电,12.09,0.16820858418941498,10.555049896240234
21,协创数据,300857,0.0,0天0板,19.994478225708008,260.76,100.67 亿,1257.04 亿,902.54 亿,8.628715515136719,,143403,,6,消费电子,260.77,0.0,18.79343032836914
