序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300857,协创数据,260.76,19.99,43.45,415961.0,100.67 亿,18.79,260.77,219.93,219.96,217.31,8.63,108.52,20.56,EDR概念
2,688288,鸿泉技术,27.9,11.2,2.81,82595.0,2.24 亿,14.03,28.26,24.74,25.09,25.09,8.27,94.64,3.68,EDR概念
3,300077,国民技术,22.55,6.67,1.41,593328.0,13.28 亿,6.05,22.88,21.6,21.8,21.14,10.48,-132.49,14.29,EDR概念
4,300458,全志科技,41.25,6.01,2.34,555335.0,22.52 亿,5.32,41.28,39.21,39.23,38.91,8.42,41.93,10.26,EDR概念
5,603893,瑞芯微,178.32,2.29,3.99,90430.0,16.06 亿,2.84,179.55,174.6,175.0,174.33,2.15,57.01,15.91,EDR概念
6,002970,锐明技术,65.2,1.91,1.22,84664.0,5.46 亿,4.64,65.99,63.02,64.61,63.98,6.76,31.13,5.71,EDR概念
7,002355,兴民智通,6.06,1.34,0.08,169018.0,1.01 亿,2.84,6.06,5.89,5.97,5.98,2.73,-16.76,3.31,EDR概念
8,002232,启明信息,18.36,0.71,0.13,39408.0,7187.93 万,1.81,18.36,18.03,18.29,18.23,0.96,230.5,5.31,EDR概念
9,601360,三六零,11.09,0.54,0.06,668003.0,7.36 亿,1.63,11.09,10.91,10.95,11.03,0.95,-476.27,2.64,EDR概念
10,300735,光弘科技,23.41,0.21,0.05,99030.0,2.31 亿,1.46,23.52,23.18,23.25,23.36,1.31,67.73,3.64,EDR概念
11,002357,富临运业,10.94,-0.09,-0.01,99655.0,1.08 亿,1.74,10.99,10.8,10.94,10.95,3.18,16.53,1.99,EDR概念
12,300188,国投智能,12.99,-0.31,-0.04,95685.0,1.24 亿,1.46,13.01,12.82,12.96,13.03,1.12,-18.37,4.47,EDR概念
13,002055,ST得润,5.96,-1.16,-0.07,126645.0,7564.05 万,1.66,6.03,5.93,6.01,6.03,2.13,37.25,2.52,EDR概念
14,300807,天迈科技,,,,,,,,,,56.02,0.0,-136.47,8.33,EDR概念
