序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,895.6,-9.361,328.82亿
2,sh603986,兆易创新,403.71,-7.563,269.19亿
3,sh688825,长鑫科技,57.55,-2.771,262.68亿
4,sh688836,N宇树,845.0,460.345,231.60亿
5,sz300502,新易盛,411.5,-9.002,228.99亿
6,sz300394,天孚通信,277.4,-4.817,175.60亿
7,sh688256,寒武纪,1050.49,-9.635,170.03亿
8,sz000725,京东方Ａ,6.01,-7.11,163.14亿
9,sz002384,东山精密,197.1,-7.82,147.51亿
10,sh600487,亨通光电,58.91,-9.937,140.23亿
11,sh600584,长电科技,77.74,-8.991,126.92亿
12,sh600176,中国巨石,40.56,-9.686,114.35亿
13,sz002428,云南锗业,104.7,-3.324,109.98亿
14,sh600206,有研新材,58.87,1.992,106.45亿
15,sh688008,澜起科技,200.0,-8.257,104.01亿
16,sh600183,生益科技,125.47,-9.999,101.33亿
17,sz002156,通富微电,63.59,-10.006,98.95亿
18,sz300408,三环集团,109.6,-11.606,97.26亿
19,sh688012,中微公司,372.0,-6.61,96.73亿
20,sz300285,国瓷材料,64.12,-13.655,96.19亿
