序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000020,深华发A,13.74,26.35,2586.1803,34166.9053,连续三个交易日内，涨幅偏离值累计达20%的证券
2,000505,京粮控股,7.47,26.36,14512.4234,100672.714,连续三个交易日内，涨幅偏离值累计达20%的证券
3,000526,学大教育,39.09,26.28,1255.0215,47299.9395,连续三个交易日内，涨幅偏离值累计达20%的证券
4,002041,登海种业,9.9,20.23,18017.18,174430.4572,连续三个交易日内，涨幅偏离值累计达20%的证券
5,002346,柘中股份,26.3,20.98,6432.9889,163650.1184,连续三个交易日内，涨幅偏离值累计达20%的证券
6,002953,日丰股份,11.73,26.35,2933.3349,33772.7659,连续三个交易日内，涨幅偏离值累计达20%的证券
7,600127,金健米业,7.82,23.27,8406.714,61227.76,连续三个交易日内，涨幅偏离值累计达20%的证券
8,600313,农发种业,7.13,28.16,38188.5138,264304.43,连续三个交易日内，涨幅偏离值累计达20%的证券
9,600371,万向德农,8.95,23.16,6400.2279,55562.64,连续三个交易日内，涨幅偏离值累计达20%的证券
10,600613,神奇制药,7.78,22.21,27409.3528,215726.2,连续三个交易日内，涨幅偏离值累计达20%的证券
11,603395,红四方,29.0,23.25,1664.2192,46871.25,连续三个交易日内，涨幅偏离值累计达20%的证券
12,603580,艾艾精工,67.99,29.34,3576.1632,226119.9,连续三个交易日内，涨幅偏离值累计达20%的证券
13,000560,我爱我家,2.38,14.86,42862.4212,101165.14,涨幅偏离值达7%的证券
14,000723,美锦能源,3.89,14.86,18610.1987,71362.6179,涨幅偏离值达7%的证券
15,001301,尚太科技,62.33,14.86,1623.4967,100698.4586,涨幅偏离值达7%的证券
16,001400,江顺科技,85.94,14.86,626.2513,51681.3285,涨幅偏离值达7%的证券
17,600783,鲁信创投,20.19,12.43,4443.2372,89687.63,涨幅偏离值达7%的证券
18,601011,宝泰隆,3.04,12.55,7282.2739,22094.19,涨幅偏离值达7%的证券
19,601015,陕西黑猫,3.71,12.5,15689.3179,56557.83,涨幅偏离值达7%的证券
20,603113,金能科技,5.15,12.45,3788.7096,18729.46,涨幅偏离值达7%的证券
21,603801,志邦家居,6.57,12.46,1356.2492,8835.07,涨幅偏离值达7%的证券
22,000620,盈新发展,3.54,16.35,89840.0702,305481.1071,振幅值达15%的证券
23,001270,铖昌科技,109.48,16.32,1864.2704,214072.8279,振幅值达15%的证券
24,002172,澳洋健康,4.04,18.32,22894.8001,101026.1921,振幅值达15%的证券
25,002361,神剑股份,11.27,17.31,25281.4871,297129.5964,振幅值达15%的证券
26,002437,誉衡药业,4.3,17.52,73825.5582,338776.0605,振幅值达15%的证券
27,600172,黄河旋风,14.42,18.22,32472.2516,465206.59,振幅值达15%的证券
28,600722,金牛化工,12.84,19.54,17152.5696,220609.3,振幅值达15%的证券
29,603186,华正新材,175.0,19.44,4045.3201,728510.25,振幅值达15%的证券
30,603958,哈森股份,16.98,22.28,3085.2547,58071.25,振幅值达15%的证券
31,605598,上海港湾,26.03,15.75,721.94,19469.9,振幅值达15%的证券
32,001260,坤泰股份,17.74,-20.1,3114.5574,62685.853,连续三个交易日内，跌幅偏离值累计达20%的证券
33,603887,城地香江,9.3,-21.15,24847.0678,263542.81,连续三个交易日内，跌幅偏离值累计达20%的证券
34,002365,永安药业,14.33,23.79,5844.3424,84697.1783,换手率达20%的证券
35,003032,传智教育,13.28,28.9,8221.8498,104016.9612,换手率达20%的证券
36,600272,开开实业,19.5,30.67,4907.5722,96412.85,换手率达20%的证券
