序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,3894.4224,-95.881,-2.403,3990.3037,3952.1219,3961.1368,3879.5785,572191213.0,1218107974056,12181.08亿
2,sz399001,深证成指,13890.152,-732.343,-5.008,14622.495,14316.979,14367.372,13842.319,69687324292.0,1292934547197,12929.35亿
3,Total,沪深总成交额,,,,,,,,,2511042521253,25110.43亿
