序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,省广集团,002400,0天0板,6.0781474113464355,7.33,7.6,22.25亿,126.53亿,127.79亿,17.425216674804688,0.0,094630,1,9.985527992248535,广告营销
2,瑞纳智能,301129,0天0板,17.247879028320312,24.88,25.46,1.89亿,16.79亿,33.80亿,11.658754348754883,0.0,094900,1,20.970783233642578,通用设备
3,金桥信息,603918,0天0板,7.53546142578125,12.13,12.41,7.23亿,44.29亿,44.29亿,16.42795181274414,0.0,095511,1,8.244680404663086,IT服务Ⅱ
4,引力传媒,603598,0天0板,4.958217144012451,18.84,19.75,8.77亿,50.76亿,50.81亿,17.043886184692383,0.0,100045,1,10.30640697479248,广告营销
5,永杉锂业,603399,0天0板,6.933842658996582,16.81,17.29,20.76亿,86.12亿,86.12亿,24.168344497680664,0.0,100409,2,9.732824325561523,能源金属
6,金发拉比,002762,4天2板,3.103782892227173,10.63,11.34,5.56亿,22.47亿,37.63亿,24.203807830810547,0.0,103203,2,9.990301132202148,服装家纺
7,创新医疗,002173,0天0板,5.555555820465088,22.42,23.36,25.07亿,94.36亿,98.94亿,26.575815200805664,0.0,110606,1,10.9227876663208,医疗服务
8,致尚科技,301486,0天0板,11.057409286499023,170.04,183.73,23.59亿,123.97亿,218.99亿,18.889440536499023,0.0,110742,2,21.31147575378418,消费电子
9,宝莱特,300246,0天0板,14.285715103149414,18.32,19.24,7.79亿,38.74亿,48.48亿,20.387378692626953,0.0,131954,1,20.274486541748047,医疗器械
10,儒意电影,002739,0天0板,6.5217390060424805,10.78,11.13,42.78亿,224.44亿,227.65亿,19.162364959716797,0.0,135403,2,9.090909004211426,影视院线
11,盖世食品,920826,0天0板,22.25,9.78,10.4,1.67亿,6.18亿,13.74亿,28.339426040649414,-0.20408162474632263,143911,1,30.000001907348633,食品加工
12,飞龙股份,002536,0天0板,7.880160808563232,42.85,43.69,21.76亿,233.28亿,246.30亿,9.573758125305176,0.0,144418,1,11.077542304992676,汽车零部
13,开开实业,600272,5天4板,10.0,17.27,17.27,10.35亿,27.63亿,45.36亿,39.431697845458984,0.0,150000,1,11.082802772521973,医药商业
