序号,股票代码,股票名称,收盘价,对应值,成交量,成交额,指标
1,000571,新大洲A,6.69,-10.49,9184.576,61988.1081,跌幅偏离值达7%的证券
2,000779,甘咨询,11.92,-7.5,12428.373,150443.2516,跌幅偏离值达7%的证券
3,600285,羚锐制药,20.47,-9.54,4383.5803,90176.54,跌幅偏离值达7%的证券
4,002173,创新医疗,22.42,26.58,11184.8309,250667.2525,换手率达20%的证券
5,002354,天娱数科,8.53,29.12,47380.5147,406614.352,换手率达20%的证券
6,002437,誉衡药业,3.86,25.6,53824.9196,204101.945,换手率达20%的证券
7,002792,通宇通讯,37.11,27.19,9186.6148,328019.1852,换手率达20%的证券
8,600272,开开实业,17.27,39.43,6309.0718,103495.38,换手率达20%的证券
9,600667,太极实业,22.71,24.11,50419.4484,1100710.49,换手率达20%的证券
10,600721,百花医药,14.03,34.43,13239.6393,184079.46,换手率达20%的证券
11,603284,林平发展,44.73,25.01,471.5103,20890.76,换手率达20%的证券
12,603399,永杉锂业,16.81,24.17,12381.2172,207648.01,换手率达20%的证券
13,920117,龙鑫智能,33.19,35.11,709.7522,23260.99,换手率达20%的证券
14,920165,珈凯生物,41.33,45.34,435.5235,18196.32,换手率达20%的证券
15,920176,维琪科技,69.72,24.24,192.6682,13293.41,换手率达20%的证券
16,920222,益坤电气,28.31,20.28,234.539,6594.04,换手率达20%的证券
17,920826,盖世食品,9.78,28.34,1789.7525,16681.81,换手率达20%的证券
18,001258,立新能源,15.46,15.22,21133.495,324493.8818,振幅值达15%的证券
19,002031,巨轮智能,6.42,20.23,35455.764,215839.0632,连续三个交易日内，涨幅偏离值累计达20%的证券
20,002047,宝鹰股份,3.92,20.31,6357.2076,23310.4679,连续三个交易日内，涨幅偏离值累计达20%的证券
21,002229,鸿博股份,12.91,20.32,9906.8348,117389.9982,连续三个交易日内，涨幅偏离值累计达20%的证券
22,600881,亚泰集团,2.06,21.68,55640.5215,106269.46,连续三个交易日内，涨幅偏离值累计达20%的证券
23,601886,江河集团,10.48,26.56,6561.3019,63937.69,连续三个交易日内，涨幅偏离值累计达20%的证券
24,603758,秦安股份,13.95,21.49,707.3159,9299.33,连续三个交易日内，涨幅偏离值累计达20%的证券
25,603887,城地香江,11.35,21.51,4344.3765,44152.54,连续三个交易日内，涨幅偏离值累计达20%的证券
26,603897,长城科技,32.05,21.5,4563.7625,134629.97,连续三个交易日内，涨幅偏离值累计达20%的证券
27,002379,宏桥控股,21.34,8.86,7121.3973,148655.9692,涨幅偏离值达7%的证券
28,002491,通鼎互联,18.84,8.86,8150.5495,147234.6436,涨幅偏离值达7%的证券
29,002552,宝鼎科技,60.07,8.86,3642.5414,205327.1666,涨幅偏离值达7%的证券
30,600266,城建发展,4.6,9.73,10758.6642,47398.21,涨幅偏离值达7%的证券
31,600379,宝光股份,14.8,9.72,2884.8155,41505.13,涨幅偏离值达7%的证券
32,600604,市北高新,5.01,9.79,3718.7723,18412.22,涨幅偏离值达7%的证券
33,300197,节能铁汉,2.3,20.0,29564.5319,61223.8066,
34,300862,蓝盾光电,32.84,20.0,207.654,6819.3574,
35,301129,瑞纳智能,24.88,17.25,786.6453,18931.4525,
36,301315,威士顿,46.16,20.0,587.9344,26171.2727,
37,301602,超研股份,18.38,20.0,1272.4301,22678.5824,
38,688167,炬光科技,245.52,20.0,861.4716,200194.03,
39,688300,联瑞新材,165.0,15.01,1661.8522,251659.54,
40,688635,长进光子,300.02,20.0,450.7602,125698.04,
41,300615,欣天科技,19.0,31.94,4889.066,87926.8892,
42,301520,万邦医药,73.9,60.02,1962.4896,146995.9031,
43,301583,托伦斯,164.0,37.43,1154.1701,190337.7384,
44,920856,浩淼科技,14.93,29.94,981.9298,14136.87,
