序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,921.0,3.838,284.08亿
2,sh688825,长鑫科技,53.52,6.19,271.56亿
3,sz300502,新易盛,428.2,3.106,187.52亿
4,sh603986,兆易创新,413.17,2.705,187.49亿
5,sz002384,东山精密,200.19,3.26,157.05亿
6,sz300394,天孚通信,240.05,7.892,127.19亿
7,sz000636,风华高科,66.51,1.002,117.76亿
8,sh688256,寒武纪,1105.38,1.352,114.61亿
9,sz002428,云南锗业,105.98,5.684,112.05亿
10,sz300476,胜宏科技,279.39,1.77,110.39亿
11,sh600667,太极实业,22.71,7.123,110.07亿
12,sh600183,生益科技,143.23,5.861,107.43亿
13,sh603259,药明康德,159.04,-0.73,106.94亿
14,sh600487,亨通光电,59.3,2.916,103.52亿
15,sh688012,中微公司,380.95,4.916,99.02亿
16,sz300285,国瓷材料,74.0,1.537,94.93亿
17,sh688008,澜起科技,215.43,4.224,94.40亿
18,sh600176,中国巨石,43.31,1.452,91.03亿
19,sz000063,中兴通讯,35.59,4.095,87.11亿
20,sz002281,光迅科技,185.03,0.522,86.09亿
