序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920191,N瑞尔,14.88,93.0,7.17,367705.0,558475960.94,24.38,16.38,14.5,15.99,7.71,,92.12,28.49,2.9,2639643552.0,593935200.0,0.0,0.0,93.0,93.0
2,688811,有研复材,23.82,20.0,3.97,486446.0,1111598106.0,20.76,23.82,19.7,19.7,19.85,1.07,52.8,173.44,10.97,11949865271.0,2194443631.0,0.0,0.0,271.61,271.61
3,300540,蜀道装备,26.64,20.0,4.44,257222.0,657019873.55,19.73,26.64,22.26,22.3,22.2,3.68,12.44,101.79,5.4,6115454690.0,5507212715.0,0.0,0.0,22.76,33.2
4,301265,华新科技,28.2,20.0,4.7,250652.0,664713107.46,18.77,28.2,23.79,24.01,23.5,1.57,14.76,150.51,4.09,8543843732.0,4788279715.0,0.0,0.0,104.64,102.73
5,688480,赛恩斯,99.66,16.92,14.42,79784.0,753743361.0,21.05,101.55,83.61,85.33,85.24,2.49,8.37,86.38,8.26,9500206999.0,9500206999.0,0.23,-0.04,49.91,93.55
6,688295,中复神鹰,60.88,16.85,8.78,404005.0,2344718952.0,19.16,62.3,52.32,52.49,52.1,2.16,4.49,569.66,11.6,54792000000.0,54792000000.0,0.02,-0.62,88.13,85.55
7,301110,青木科技,71.06,15.71,9.65,90587.0,613724693.38,17.23,71.65,61.07,61.1,61.41,3.67,13.86,61.94,4.51,6575560763.0,4644949388.0,0.2,0.37,-12.27,7.37
8,688218,江苏北人,28.13,15.62,3.8,163549.0,445409474.0,18.13,28.96,24.55,24.66,24.33,6.25,14.04,-40.96,3.95,3276451258.0,3276451258.0,0.29,-0.32,20.42,23.27
9,688227,品高股份,116.66,15.09,15.3,237040.0,2762722663.0,11.47,121.63,110.0,121.63,101.36,5.02,20.97,-254.11,10.22,13189028382.0,13189028382.0,0.14,0.5,34.63,79.45
10,688126,沪硅产业,20.8,14.73,2.67,1149935.0,2317697286.0,15.28,21.27,18.5,18.5,18.13,4.0,4.21,-45.6,4.06,68744486574.0,56818500066.0,0.1,-0.53,-8.29,-3.88
11,920879,基康技术,23.42,14.41,2.95,73193.0,172038477.47,19.15,24.47,20.55,20.65,20.47,9.08,5.6,47.45,6.18,3920289702.0,3063510081.0,0.04,0.13,1.74,9.44
12,920526,凯华材料,28.27,14.31,3.54,114025.0,334304098.67,19.09,32.0,27.28,27.67,24.73,8.99,21.77,162.26,10.21,2337929000.0,1480428829.0,0.32,-0.46,9.91,20.2
13,300265,通光线缆,21.38,13.91,2.61,1122293.0,2306477207.94,13.96,21.5,18.88,18.89,18.77,2.14,24.02,310.78,4.23,9997316542.0,9990878490.0,0.05,0.33,56.98,59.55
14,688220,翱捷科技-U,94.22,13.79,11.42,238689.0,2185747570.0,15.46,95.38,82.58,82.58,82.8,2.07,6.47,-100.98,7.22,39412309762.0,34780307861.0,0.02,-0.03,-0.72,14.05
15,300518,新迅达,24.31,13.76,2.94,287678.0,706671577.47,19.14,25.5,21.41,21.41,21.37,3.96,14.43,-131.17,6.45,4847695413.0,4847261479.0,-0.16,-0.21,21.13,38.91
16,688502,茂莱光学,465.5,13.23,54.39,44012.0,1966415475.0,10.96,468.49,423.45,423.8,411.11,2.85,8.34,530.5,20.44,24578400000.0,24578400000.0,0.0,0.43,14.12,16.65
17,920751,惠同新材,24.76,12.8,2.81,44494.0,110321395.31,26.01,27.83,22.12,22.5,21.95,5.98,5.36,46.26,5.35,2148672800.0,2056742015.0,0.36,0.53,-1.2,18.64
18,300478,杭州高新,30.04,12.51,3.34,113964.0,332991746.3,12.58,30.19,26.83,27.0,26.7,3.3,9.0,-139.11,93.77,3805256920.0,3805256920.0,0.07,0.07,11.92,-7.0
19,300788,中信出版,36.78,12.13,3.98,139028.0,488729971.82,15.24,37.38,32.38,32.45,32.8,1.97,7.31,53.76,3.17,6993772722.0,6993772722.0,-0.08,-0.65,16.95,34.23
20,688018,乐鑫科技,171.0,11.98,18.3,97880.0,1603221795.0,11.72,172.0,154.1,155.22,152.7,3.77,6.25,52.68,6.36,28581454710.0,26796165462.0,0.0,-0.04,-6.14,0.59
21,300900,广联航空,50.2,11.53,5.19,720681.0,3537232641.18,16.66,52.0,44.5,44.93,45.01,1.54,28.07,709.59,11.56,16451560767.0,12890604942.0,0.06,0.02,41.17,28.49
22,301310,鑫宏业,62.9,11.27,6.37,83163.0,485128101.96,13.37,63.66,56.1,58.0,56.53,0.97,19.02,64.74,3.69,8589274276.0,2749777914.0,0.03,-1.09,54.62,46.45
23,920576,天力复合,88.87,11.24,8.98,89862.0,764362145.64,16.26,91.5,78.51,79.0,79.89,1.73,8.39,439.08,21.68,9682386500.0,9520434611.0,0.01,0.33,-0.81,25.84
24,300736,百邦科技,27.35,11.13,2.74,231893.0,610807598.85,11.58,27.47,24.62,24.65,24.61,1.38,18.54,-152.64,42.45,3499003761.0,3421108582.0,-0.15,0.44,60.98,76.34
25,300342,天银机电,63.02,10.35,5.91,820185.0,4994407947.11,16.91,66.66,57.0,57.3,57.11,1.45,19.58,2094.05,17.21,26785712821.0,26392704346.0,0.1,-0.33,23.64,90.22
26,688539,高华科技,42.97,10.29,4.01,103601.0,435339450.0,13.12,43.66,38.55,39.08,38.96,2.89,5.57,131.28,4.55,7988982400.0,7988982400.0,0.28,0.02,-8.61,-13.21
27,300692,中赋科技,9.55,10.28,0.89,457576.0,420991808.91,10.97,9.63,8.68,8.7,8.66,3.05,8.92,47.6,1.83,5369736908.0,4900124492.0,-0.21,-0.1,3.92,13.69
28,301186,超达装备,73.96,10.09,6.78,50929.0,367232234.75,11.39,74.89,67.24,68.25,67.18,1.38,6.73,40.62,3.74,5957459732.0,5595033988.0,0.12,0.65,51.0,52.31
29,600433,冠豪高新,4.04,10.08,0.37,910152.0,355829902.0,11.72,4.04,3.61,3.66,3.67,2.11,5.2,-23.29,1.67,7071128101.0,7071128101.0,0.0,0.0,26.25,23.17
