序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,603268,松发股份,133.34,10.0,12.12,132401.0,17.45 亿,9.35,133.34,122.01,124.0,121.22,5.68,48.76,13.69,船舶制造
2,600150,中国船舶,35.28,6.81,2.25,1796601.0,61.99 亿,7.05,35.42,33.09,33.12,33.03,2.39,34.03,1.88,船舶制造
3,300600,国瑞科技,13.45,6.32,0.8,163352.0,2.18 亿,7.51,13.6,12.65,12.65,12.65,5.55,-71.92,3.29,船舶制造
4,300008,天海防务,8.05,5.37,0.41,1635253.0,12.94 亿,5.1,8.05,7.66,7.67,7.64,9.93,46.62,5.76,船舶制造
5,300589,江龙船艇,16.84,4.66,0.75,363237.0,6.07 亿,5.72,17.27,16.35,16.44,16.09,15.68,-129.42,8.09,船舶制造
6,600685,中船防务,30.66,3.48,1.03,279967.0,8.51 亿,2.97,30.73,29.85,29.97,29.63,3.41,42.98,2.38,船舶制造
7,300065,海兰信,28.33,3.17,0.87,968868.0,27.29 亿,5.24,28.76,27.32,27.41,27.46,14.75,385.12,11.63,船舶制造
8,601890,亚星锚链,10.79,3.06,0.32,461866.0,4.95 亿,3.06,10.84,10.52,10.53,10.47,4.81,36.75,2.8,船舶制造
9,601868,中国能建,2.94,1.03,0.03,8516082.0,24.93 亿,3.09,2.96,2.87,2.92,2.91,2.63,22.27,1.1,船舶制造
10,600482,中国动力,38.2,-0.03,-0.01,437442.0,16.87 亿,5.71,39.7,37.52,38.21,38.21,1.93,53.81,2.15,船舶制造
11,300123,亚光科技,,,,,,,,,,6.42,0.0,-5.34,19.3,船舶制造
