序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002217,合力泰,2.95,10.07,0.27,2480961.0,7.29 亿,1.49,2.95,2.91,2.91,2.68,3.41,971.0,11.79,东方财富热股
2,600156,华升股份,10.19,10.04,0.93,356662.0,3.57 亿,9.83,10.19,9.28,9.28,9.26,8.87,-116.35,10.92,东方财富热股
3,603025,大豪科技,16.89,10.03,1.54,158410.0,2.66 亿,4.5,16.89,16.2,16.3,15.35,1.43,19.82,6.36,东方财富热股
4,002361,神剑股份,20.63,10.03,1.88,3251362.0,64.50 亿,10.03,20.63,18.75,18.85,18.75,40.18,485.32,8.86,东方财富热股
5,002418,康盛股份,6.81,10.02,0.62,628090.0,4.28 亿,0.16,6.81,6.8,6.81,6.19,5.53,419.59,5.37,东方财富热股
6,002297,博云新材,19.46,10.01,1.77,864474.0,16.57 亿,5.31,19.46,18.52,18.73,17.69,15.08,180.31,5.24,东方财富热股
7,002475,立讯精密,65.73,10.01,5.98,3929269.0,251.88 亿,8.07,65.73,60.91,62.64,59.75,5.41,28.85,5.67,东方财富热股
8,603052,可川科技,91.69,10.01,8.34,193844.0,17.26 亿,10.03,91.69,83.33,87.35,83.35,10.32,518.8,15.84,东方财富热股
9,600707,彩虹股份,8.57,10.01,0.78,1107222.0,9.35 亿,6.29,8.57,8.08,8.27,7.79,3.09,82.17,1.41,东方财富热股
10,600961,株冶集团,24.3,10.0,2.21,50869.0,1.24 亿,0.0,24.3,24.3,24.3,22.09,0.68,5.7,5.16,东方财富热股
11,603773,沃格光电,58.19,10.0,5.29,95725.0,5.53 亿,3.76,58.19,56.2,56.6,52.9,4.26,-146.51,11.21,东方财富热股
12,600103,青山纸业,4.73,10.0,0.43,5352320.0,24.14 亿,10.93,4.73,4.26,4.28,4.3,24.19,193.82,2.68,东方财富热股
13,002149,西部材料,60.28,10.0,5.48,826012.0,48.19 亿,10.88,60.28,54.32,54.81,54.8,16.92,318.71,10.1,东方财富热股
14,002428,云南锗业,68.2,10.0,6.2,1157818.0,77.75 亿,7.29,68.2,63.68,63.86,62.0,17.73,1840.79,30.6,东方财富热股
15,603178,圣龙股份,19.16,9.99,1.74,319495.0,6.09 亿,6.72,19.16,17.99,18.23,17.42,13.51,-46.57,3.73,东方财富热股
