排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,船舶制造,BK0729,1429.77,60.08,4.39,7165.80 亿,3.07,9,1,松发股份,10.0
2,氦气概念,BK0949,2856.63,116.04,4.23,2487.49 亿,6.14,12,3,蜀道装备,20.0
3,空间站概念,BK0994,2798.54,92.5,3.42,4111.04 亿,6.62,17,2,中国卫星,10.0
4,东方财富热股,BK1637,1460.03,46.28,3.27,96242.42 亿,9.18,74,24,株冶集团,10.0
5,航母概念,BK0715,1182.13,36.48,3.18,12584.47 亿,2.25,28,4,泰豪科技,9.97
