序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,博云新材,002297,6.0,6天6板,10.005653381347656,19.46,16.57 亿,111.53 亿,111.53 亿,15.084050178527832,184599973.0,093433,094015,2,航空装备,,,
2,华升股份,600156,3.0,7天4板,10.043196678161621,10.19,3.57 亿,40.98 亿,40.98 亿,8.8697509765625,97179818.0,093116,094516,1,纺织制造,,,
3,株冶集团,600961,3.0,3天3板,10.00452709197998,24.3,1.24 亿,182.69 亿,260.71 亿,0.6766161322593689,566746858.0,092500,092500,0,工业金属,,,
4,可川科技,603052,3.0,3天3板,10.005998611450195,91.69,17.26 亿,172.28 亿,172.28 亿,10.316505432128906,4532053.0,103241,144920,45,消费电子,,,
5,合力泰,002217,2.0,2天2板,10.074626922607422,2.95,7.29 亿,214.74 亿,220.64 亿,3.4082303047180176,337681780.0,093000,093000,0,光学光电,,,
6,沃格光电,603773,2.0,8天5板,10.0,58.19,5.53 亿,130.73 亿,130.77 亿,4.260928153991699,104985408.0,093046,093301,2,光学光电,,,
7,云南锗业,002428,2.0,2天2板,10.0,68.2,77.75 亿,445.37 亿,445.43 亿,17.729780197143555,21948192.0,094430,143642,38,小金属,,,
8,圣龙股份,603178,2.0,2天2板,9.988518714904785,19.16,6.09 亿,45.30 亿,45.30 亿,13.51435375213623,160944.0,093148,145633,14,汽车零部,,,
9,彩虹股份,600707,2.0,8天4板,10.012836456298828,8.57,9.35 亿,307.46 亿,307.52 亿,3.086185932159424,117519458.0,093204,093701,2,光学光电,,,
10,康盛股份,002418,2.0,7天4板,10.016155242919922,6.81,4.28 亿,77.39 亿,77.39 亿,5.527029991149902,342695387.0,093000,093000,0,家电零部,,,
18,泰豪科技,600590,1.0,首板,9.974746704101562,17.42,7.08 亿,146.95 亿,148.57 亿,4.82824182510376,158155239.0,093013,093235,1,军工电子,,,
24,松发股份,603268,1.0,首板,9.998350143432617,133.34,17.45 亿,311.02 亿,1294.44 亿,5.676365375518799,52615964.0,093439,130221,18,航海装备,,,
32,光电股份,600184,1.0,首板,9.990999221801758,24.44,8.96 亿,142.42 亿,142.42 亿,6.403857707977295,62839565.0,094131,094440,2,地面兵装,,,
35,蜀道装备,300540,1.0,首板,20.0,26.64,6.57 亿,55.07 亿,61.15 亿,12.442577362060547,84529918.0,094539,094900,1,专用设备,,,
43,大豪科技,603025,1.0,首板,10.032573699951172,16.89,2.66 亿,187.34 亿,188.60 亿,1.428175687789917,59311633.0,093134,093340,2,自动化设,,,
51,西部材料,002149,1.0,首板,10.0,60.28,48.19 亿,294.25 亿,294.30 亿,16.921648025512695,195189412.0,095654,104315,2,小金属,,,
58,中国卫星,600118,1.0,首板,9.996508598327637,94.52,70.74 亿,1117.69 亿,1117.69 亿,6.526819229125977,522416955.0,105909,111424,2,航天装备,,,
60,普利特,002324,1.0,首板,9.974586486816406,17.31,11.32 亿,134.37 亿,192.55 亿,8.63557243347168,125031168.0,111300,111300,0,塑料,,,
66,水发燃气,603318,1.0,首板,10.0,8.47,4.47 亿,38.88 亿,46.98 亿,11.930377006530762,114373196.0,130852,130852,0,燃气Ⅱ,,,
70,天奥电子,002935,1.0,首板,9.989429473876953,20.81,3.83 亿,86.38 亿,88.26 亿,4.614138126373291,22593417.0,132421,132421,0,军工电子,,,
71,神剑股份,002361,1.0,4天2板,10.026666641235352,20.63,64.50 亿,166.92 亿,196.20 亿,40.18378448486328,171015830.0,133130,133154,1,塑料,,,
72,青山纸业,600103,1.0,首板,10.0,4.73,24.14 亿,104.64 亿,105.99 亿,24.193147659301758,45286571.0,134311,135544,2,造纸,,,
74,中船科技,600072,1.0,首板,10.0,13.2,7.25 亿,143.00 亿,198.09 亿,5.244171142578125,47604057.0,140151,141357,3,风电设备,,,
14,立讯精密,002475,0.0,0天0板,10.008367538452148,65.73,251.88 亿,4778.09 亿,4789.08 亿,5.405311584472656,,131357,,21,消费电子,65.73,0.0,8.06694507598877
