序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,600072,中船科技,13.2,10.0,1.2,568121,7.25 亿,10.5,13.2,11.94,12.0,12.0,5.24,-10.36,2.04,航母概念
2,002149,西部材料,60.28,10.0,5.48,826012,48.19 亿,10.88,60.28,54.32,54.81,54.8,16.92,318.71,10.1,航母概念
3,600184,光电股份,24.44,9.99,2.22,373170,8.96 亿,8.96,24.44,22.45,22.45,22.22,6.4,433.05,4.2,航母概念
4,600590,泰豪科技,17.42,9.97,1.58,407296,7.08 亿,2.65,17.42,17.0,17.0,15.84,4.83,245.42,4.65,航母概念
5,002324,普利特,17.31,9.97,1.57,670359,11.32 亿,9.85,17.31,15.76,15.79,15.74,8.64,44.42,4.21,航母概念
6,002465,海格通信,16.8,7.07,1.11,1738514,29.08 亿,8.92,17.08,15.68,15.69,15.69,7.02,-53.02,3.65,航母概念
7,600150,中国船舶,35.28,6.81,2.25,1796601,61.99 亿,7.05,35.42,33.09,33.12,33.03,2.39,34.03,1.88,航母概念
8,300252,金信诺,14.99,5.19,0.74,580006,8.70 亿,5.05,15.22,14.5,14.6,14.25,10.38,943.43,4.55,航母概念
9,600391,航发科技,42.11,4.8,1.93,278094,11.65 亿,8.14,43.17,39.9,40.39,40.18,8.42,228.36,7.79,航母概念
10,002151,北斗星通,40.12,4.26,1.64,339171,13.49 亿,4.89,40.2,38.32,38.48,38.48,7.66,-84.7,4.5,航母概念
11,300447,全信股份,20.75,3.49,0.7,142848,2.94 亿,3.39,20.78,20.1,20.3,20.05,7.09,218.53,3.24,航母概念
12,300065,海兰信,28.33,3.17,0.87,968868,27.29 亿,5.24,28.76,27.32,27.41,27.46,14.75,385.12,11.63,航母概念
13,300101,振芯科技,22.29,3.0,0.65,231843,5.13 亿,3.42,22.37,21.63,21.7,21.64,4.1,102.33,6.87,航母概念
14,600435,北方导航,15.38,2.33,0.35,397912,6.10 亿,3.59,15.46,14.92,15.03,15.03,2.63,192.85,7.97,航母概念
15,600765,中航重机,16.91,1.99,0.33,236187,3.97 亿,2.05,16.94,16.6,16.6,16.58,1.52,43.12,1.87,航母概念
