序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,002475,立讯精密,65.73,10.01,251.88 亿
2,300308,中际旭创,850.0,-0.12,233.57 亿
3,300750,宁德时代,432.5,-2.63,227.68 亿
4,300502,新易盛,583.0,-1.02,200.41 亿
5,300476,胜宏科技,343.0,5.08,185.48 亿
6,002384,东山精密,157.0,-3.15,173.97 亿
7,300058,蓝色光标,19.53,8.5,152.41 亿
8,300394,天孚通信,374.5,-1.26,151.95 亿
9,600487,亨通光电,60.89,9.42,132.40 亿
10,601138,工业富联,61.51,0.89,131.90 亿
11,300136,信维通信,77.8,3.86,116.96 亿
12,000977,浪潮信息,73.12,7.17,109.62 亿
13,000988,华工科技,114.98,-1.46,107.51 亿
14,688256,寒武纪,1378.2,3.31,102.24 亿
15,002837,英维克,121.08,9.41,101.29 亿
16,603083,剑桥科技,152.3,4.82,97.20 亿
17,603986,兆易创新,290.54,0.55,94.90 亿
18,002281,光迅科技,120.05,2.76,93.42 亿
19,300274,阳光电源,135.2,1.85,88.81 亿
20,000547,航天发展,28.75,6.56,88.34 亿
