序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,606.52,4.21,176.95 亿
2,300502,新易盛,455.3,1.75,155.05 亿
3,300394,天孚通信,333.86,3.43,108.08 亿
4,600487,亨通光电,58.05,8.73,98.07 亿
5,300750,宁德时代,386.46,-3.67,96.40 亿
6,300476,胜宏科技,263.68,2.57,93.67 亿
7,300274,阳光电源,123.32,-3.09,88.22 亿
8,000617,中油资本,10.7,7.86,84.81 亿
9,002281,光迅科技,90.39,7.74,75.37 亿
10,000988,华工科技,103.54,3.19,71.33 亿
11,002384,东山精密,110.55,4.05,69.77 亿
12,601869,长飞光纤,352.5,6.02,65.23 亿
13,688256,寒武纪,1025.7,2.67,63.55 亿
14,600522,中天科技,30.67,4.6,60.24 亿
15,600498,烽火通信,49.16,2.8,57.92 亿
16,002202,金风科技,24.22,0.87,57.13 亿
17,002428,云南锗业,51.71,8.86,55.69 亿
18,601138,工业富联,52.18,0.35,54.87 亿
19,300620,光库科技,222.96,11.44,53.64 亿
20,600105,永鼎股份,30.98,2.28,52.61 亿
