排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,CPO概念,BK1128,6505.53,191.95,3.04,33886.08 亿,5.08,33,12,德科立,20.0
2,光通信模块,BK1136,3000.94,63.34,2.16,37190.10 亿,5.83,49,29,通宇通讯,10.0
3,激光雷达,BK1002,2438.96,48.26,2.02,8393.54 亿,3.28,21,21,福晶科技,10.0
4,F5G概念,BK1088,4298.82,76.57,1.81,14906.88 亿,2.75,17,8,通宇通讯,10.0
5,昨日打二板以上表现,BK1645,1639.45,20.35,1.26,284.19 亿,18.82,2,2,津药药业,9.94
