序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,002897,意华股份,-10.0,84.69,17.40亿,156.19亿,164.20亿,101.93658447265625,10.782747268676758,779148,150000,122219184,1,11,通信设备
2,600988,赤峰黄金,-10.003216743469238,27.98,19.52亿,465.56亿,531.74亿,13.451528549194336,4.092742919921875,2039742,145401,209496666,1,14,贵金属
3,002155,湖南黄金,-9.982847213745117,26.24,28.83亿,410.00亿,410.04亿,17.212753295898438,6.84749698638916,7026363,142600,213617578,1,18,贵金属
4,603177,德创环保,-10.0,10.08,1.84亿,20.58亿,20.58亿,-44.47829055786133,8.855466842651367,9739296,144636,63693050,1,21,环境治理
5,600489,中金黄金,-10.017969131469727,20.03,24.89亿,970.92亿,970.92亿,10.196494102478027,2.49381947517395,13097416,150000,249096021,1,20,贵金属
6,002484,江海股份,-10.0,94.5,55.33亿,775.35亿,803.75亿,124.02888488769531,6.905458927154541,16043737,141642,379926285,1,6,元件
7,601168,西部矿业,-10.008990287780762,30.03,29.49亿,715.61亿,715.61亿,11.279853820800781,3.988273859024048,16300404,135914,321155082,1,12,工业金属
8,000688,国城矿业,-10.007798194885254,34.62,13.56亿,410.27亿,410.27亿,29.038650512695312,3.2250008583068848,18219328,140045,94432558,1,4,工业金属
9,000603,盛达资源,-9.981851577758789,24.8,9.57亿,165.35亿,171.11亿,53.87302017211914,5.604809284210205,23500132,135445,72945331,1,3,贵金属
10,002859,洁美科技,-10.0,92.25,23.38亿,374.44亿,397.81亿,208.2629852294922,6.117277145385742,26464772,141954,92729700,1,0,其他电子
11,000506,招金黄金,-9.973404884338379,13.54,5.76亿,125.75亿,125.79亿,16.7802791595459,4.456174373626709,26537046,131809,45520126,1,0,贵金属
12,605589,圣泉集团,-9.99728012084961,66.17,56.19亿,559.74亿,560.06亿,78.94915771484375,9.834879875183105,28356359,144247,1198638969,1,17,塑料
13,600540,新赛股份,-10.071942329406738,3.75,4600.57万,21.80亿,21.80亿,13.033496856689453,2.110197067260742,30667905,092504,431398125,1,0,种植业
14,600301,华锡有色,-10.0,64.26,13.48亿,176.93亿,406.49亿,55.869014739990234,7.359334468841553,35310870,134854,73082898,1,1,小金属
15,600545,卓郎智能,-9.945504188537598,6.61,11.18亿,118.18亿,118.18亿,-98.18307495117188,9.283459663391113,39221651,140904,101207752,1,1,专用设备
16,600392,盛和资源,-10.005800247192383,31.03,73.56亿,543.90亿,543.90亿,41.5396842956543,12.978957176208496,42117887,144221,445775987,1,3,小金属
17,603002,宏昌电子,-9.984580039978027,23.35,28.13亿,264.81亿,264.81亿,14129.6416015625,10.257669448852539,46106910,135907,161252765,1,0,电子化学
18,002149,西部材料,-9.9981689453125,49.15,30.42亿,239.92亿,239.96亿,652.2826538085938,12.339868545532227,47982834,143339,161010776,1,1,小金属
19,002125,湘潭电化,-9.972899436950684,16.61,10.19亿,104.56亿,104.56亿,29.256467819213867,9.458104133605957,48679674,135039,79587511,1,3,电池
20,000060,中金岭南,-9.988649368286133,7.93,38.46亿,352.18亿,352.18亿,17.48313331604004,10.397258758544922,55149755,140800,172994202,1,0,工业金属
21,000823,超声电子,-10.016834259033203,21.38,27.10亿,127.20亿,127.07亿,96.37862396240234,20.119728088378906,59887560,140000,264731070,1,3,元件
22,002902,铭普光磁,-9.988931655883789,32.53,9.81亿,57.78亿,76.45亿,-83.61134338378906,16.623220443725586,63888920,130039,121905783,1,1,通信设备
23,002138,顺络电子,-9.994552612304688,66.1,38.21亿,500.05亿,532.98亿,74.90595245361328,7.451800346374512,80721320,142303,193474434,1,4,元件
24,002645,华宏科技,-10.008339881896973,32.37,20.36亿,220.19亿,243.79亿,28.1583251953125,9.039566993713379,85267726,134951,245147971,1,7,环保设备
25,603993,洛阳钼业,-9.976905822753906,19.49,111.27亿,3403.12亿,4169.75亿,13.433382034301758,3.1651904582977295,90304459,140549,727792732,1,1,工业金属
