序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sh603986,兆易创新,640.99,-7.062,390.90亿
2,sz300308,中际旭创,1310.01,-5.232,389.64亿
3,sz300502,新易盛,552.0,-4.823,248.86亿
4,sz300059,东方财富,20.9,-0.334,234.94亿
5,sh600487,亨通光电,117.31,-2.347,219.13亿
6,sh688008,澜起科技,258.0,-7.874,205.36亿
7,sh688256,寒武纪,1413.0,-3.019,200.02亿
8,sh600522,中天科技,61.73,3.522,199.68亿
9,sz000725,京东方Ａ,6.77,-2.309,198.95亿
10,sh600584,XD长电科,86.09,-5.634,195.26亿
11,sz002384,东山精密,255.02,-5.74,186.27亿
12,sh601138,工业富联,74.1,-6.06,183.13亿
13,sz002475,立讯精密,69.36,1.404,181.10亿
14,sz300476,胜宏科技,338.2,-7.444,180.44亿
15,sz002008,大族激光,145.11,9.99,172.37亿
16,sh600183,生益科技,167.87,-9.014,171.18亿
17,sh688525,佰维存储,389.47,-4.145,155.47亿
18,sz300750,宁德时代,392.51,-4.027,149.58亿
19,sz002428,云南锗业,111.9,1.285,147.39亿
20,sz000657,中钨高新,102.5,-5.382,147.07亿
