序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1245.0,8.355,407.51 亿
2,sz300502,新易盛,540.49,6.719,318.04 亿
3,sh603986,兆易创新,518.0,7.587,239.35 亿
4,sh600487,亨通光电,99.28,2.351,214.46 亿
5,sh688256,寒武纪,1335.0,7.661,202.05 亿
6,sz002384,东山精密,239.31,10.002,197.26 亿
7,sh601899,紫金矿业,31.31,7.631,177.20 亿
8,sz000725,京东方Ａ,5.92,6.284,176.10 亿
9,sz300394,天孚通信,305.04,8.574,159.96 亿
10,sh600522,中天科技,51.35,5.658,154.23 亿
11,sh603993,洛阳钼业,20.92,9.471,150.38 亿
12,sh688525,佰维存储,339.96,3.678,138.90 亿
13,sz300750,宁德时代,398.1,0.823,136.14 亿
14,sz002281,光迅科技,225.47,10.001,129.54 亿
15,sh600584,长电科技,74.32,7.835,128.72 亿
16,sz002463,沪电股份,133.76,6.837,128.61 亿
17,sz300476,胜宏科技,344.5,5.284,128.23 亿
18,sh688008,澜起科技,240.1,6.768,125.72 亿
19,sz000988,华工科技,160.98,6.602,120.16 亿
20,sz300408,三环集团,150.25,18.775,119.67 亿
