序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,sz300308,中际旭创,1275.0,6.98,438.81 亿
2,sz300502,新易盛,782.25,4.719,337.14 亿
3,sh601138,工业富联,81.05,1.3,315.92 亿
4,sz300394,天孚通信,497.38,8.836,301.57 亿
5,sh603986,兆易创新,492.23,3.695,288.39 亿
6,sz002384,东山精密,223.99,6.192,265.54 亿
7,sh600584,长电科技,80.13,6.344,262.69 亿
8,sh688008,澜起科技,253.9,7.131,234.01 亿
9,sh688256,寒武纪,1378.1,6.008,226.84 亿
10,sz000725,京东方Ａ,5.59,2.194,209.85 亿
11,sz002281,光迅科技,224.0,4.133,205.95 亿
12,sz002475,立讯精密,74.8,1.081,200.74 亿
13,sz300476,胜宏科技,353.44,1.249,192.29 亿
14,sh600522,中天科技,44.98,4.873,189.63 亿
15,sz300750,宁德时代,426.42,-1.722,164.61 亿
16,sz000988,华工科技,154.39,3.444,159.18 亿
17,sh600183,生益科技,141.09,0.014,154.62 亿
18,sz002463,沪电股份,129.8,-0.916,140.18 亿
19,sh688981,中芯国际,134.0,1.147,134.88 亿
20,sh688525,佰维存储,314.0,3.494,130.35 亿
