序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4083.974,8.872,0.218,4075.1016,4068.3408,4107.0458,4059.9067,668452583.0,1429755844608,14297.56 亿
2,sz399001,深证成指,15704.711,113.583,0.729,15591.128,15646.685,15962.365,15542.656,79273787656.0,1700522735411,17005.23 亿
3,Total,沪深总成交额,,,,,,,,,3130278580019,31302.79 亿
