序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,003030,祖名股份,-9.979035377502441,21.47,1.55 亿,17.38 亿,26.79 亿,-200.2310028076172,8.592999458312988,304874,150000,7151657,1,6,农产品加
2,605077,华康股份,-10.00575065612793,15.65,3.18 亿,46.86 亿,47.43 亿,53.47794723510742,6.584134101867676,2373322,140655,33157653,1,2,化学制品
3,001228,永泰运,-9.989943504333496,26.85,1.43 亿,21.44 亿,27.89 亿,20.175512313842773,6.449665546417236,3509295,141912,8387940,1,1,物流
4,603721,中广天择,-10.004150390625,21.68,1.81 亿,28.18 亿,28.18 亿,-93.44973754882812,6.273500919342041,7347785,140652,643987053,1,9,影视院线
5,002606,大连电瓷,-9.993979454040527,14.95,10.63 亿,62.96 亿,65.64 亿,27.57815170288086,16.59181022644043,13571699,142521,218174479,1,9,电网设备
6,601177,杭齿前进,-9.988649368286133,15.86,4.58 亿,63.45 亿,64.66 亿,25.760528564453125,7.124080657958984,16662452,141948,69500104,1,4,通用设备
7,002681,奋达科技,-10.05385971069336,5.01,5.43 亿,78.62 亿,89.91 亿,-141.58534240722656,6.662703037261963,17597189,140203,91350140,1,3,消费电子
8,600636,退市国化,-9.777777671813965,2.03,4818.76 万,8.90 亿,8.90 亿,-10.252105712890625,5.404245376586914,22560770,093404,1272594455,2,2,教育
9,600850,电科数字,-9.996065139770508,22.87,10.04 亿,155.56 亿,155.56 亿,154.10360717773438,6.206563472747803,36930704,140455,73003441,1,0,IT服务Ⅱ
10,000712,锦龙股份,-10.009099960327148,9.89,4.59 亿,88.59 亿,88.61 亿,-141.1580810546875,5.151506423950195,67965454,101824,300489816,1,15,证券Ⅱ
11,003004,声迅股份,-9.993021965026855,64.49,1.43 亿,44.33 亿,52.79 亿,-391.6297607421875,3.1847994327545166,110219794,093515,45600879,1,0,计算机设
