序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4055.5468,28.337,0.704,4027.2095,4030.1378,4057.8314,4028.9086,545876967.0,976565489655,9765.65 亿
2,sz399001,深证成指,14796.335,297.88,2.055,14498.455,14546.353,14807.162,14522.86,68598741254.0,1365112582861,13651.13 亿
3,Total,沪深总成交额,,,,,,,,,2341678072516,23416.78 亿
