序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300352,北信源,7.81,11.41,0.8,1279651,9.46 亿,12.7,7.85,6.96,7.02,7.01,10.02,-51.12,9.19,Kimi概念
2,600986,浙文互联,10.98,7.44,0.76,2884005,31.39 亿,8.9,11.24,10.33,10.33,10.22,19.39,190.96,3.15,Kimi概念
3,300442,润泽科技,95.78,6.12,5.52,765044,72.45 亿,8.55,97.98,90.26,90.26,90.26,4.69,67.21,10.96,Kimi概念
4,300170,汉得信息,21.25,4.01,0.82,771529,16.32 亿,3.57,21.36,20.63,20.66,20.43,7.9,95.98,3.84,Kimi概念
5,300364,中文在线,28.41,3.5,0.96,660065,18.71 亿,4.23,28.76,27.6,27.6,27.45,9.99,-29.83,43.78,Kimi概念
6,688111,金山办公,252.46,3.33,8.14,113218,28.44 亿,3.41,254.94,246.6,246.6,244.32,2.44,63.7,9.1,Kimi概念
7,301171,易点天下,47.58,3.21,1.48,414031,19.70 亿,3.62,48.48,46.81,46.81,46.1,10.83,142.01,6.06,Kimi概念
8,300634,彩讯股份,27.78,3.19,0.86,189376,5.24 亿,3.75,28.1,27.09,27.35,26.92,4.36,43.13,4.16,Kimi概念
9,002555,三七互娱,23.29,2.96,0.67,582025,13.40 亿,3.4,23.38,22.61,22.78,22.62,3.67,17.77,3.81,Kimi概念
10,300785,值得买,51.41,2.84,1.42,133053,6.80 亿,2.88,51.74,50.3,50.48,49.99,10.88,570.12,5.41,Kimi概念
11,300188,国投智能,12.54,2.7,0.33,114825,1.42 亿,2.7,12.55,12.22,12.22,12.21,1.34,-22.11,3.48,Kimi概念
12,300624,万兴科技,71.19,2.68,1.86,91056,6.46 亿,2.13,71.6,70.12,70.86,69.33,5.32,-167.6,12.75,Kimi概念
13,300781,因赛集团,36.2,2.26,0.8,46917,1.69 亿,2.6,36.3,35.38,35.39,35.4,3.87,162.79,8.9,Kimi概念
14,002432,九安医疗,75.28,-0.4,-0.3,346026,25.73 亿,5.5,75.91,71.75,75.01,75.58,7.89,16.52,1.58,Kimi概念
15,600880,博瑞传播,5.08,-1.36,-0.07,511073,2.60 亿,2.91,5.18,5.03,5.15,5.15,4.68,530.86,1.83,Kimi概念
