序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,603032,德新科技,22.15,9.98,2.01,316990,6.79 亿,10.68,22.15,20.0,20.0,20.14,13.68,121.39,4.53,刀片电池
2,300438,鹏辉能源,68.58,9.05,5.69,665383,44.44 亿,11.08,69.96,62.99,64.11,62.89,16.46,226.01,6.63,刀片电池
3,002733,雄韬股份,32.18,6.7,2.02,432173,13.68 亿,8.16,32.58,30.12,30.62,30.16,11.72,87.17,4.5,刀片电池
4,688379,华光新材,52.79,6.58,3.26,42283,2.18 亿,6.48,52.9,49.69,49.75,49.53,4.69,26.17,4.06,刀片电池
5,002466,天齐锂业,65.32,5.7,3.52,917480,59.29 亿,7.54,66.66,62.0,62.55,61.8,6.22,240.91,2.53,刀片电池
6,300648,星云股份,53.64,5.38,2.74,52371,2.75 亿,6.95,54.26,50.72,51.48,50.9,3.95,-200.4,6.86,刀片电池
7,002594,比亚迪,105.54,2.44,2.51,643661,67.64 亿,2.61,105.97,103.28,103.28,103.03,1.85,29.5,4.23,刀片电池
8,002160,常铝股份,5.15,2.18,0.11,287274,1.47 亿,2.58,5.19,5.06,5.06,5.04,2.79,108.69,1.43,刀片电池
9,300477,ST合纵,2.54,1.6,0.04,505513,1.26 亿,8.0,2.56,2.36,2.47,2.5,5.1,-15.11,2.76,刀片电池
10,300568,星源材质,15.8,1.02,0.16,632172,10.00 亿,3.01,16.05,15.58,15.89,15.64,5.19,584.64,2.16,刀片电池
11,600210,紫江企业,6.99,0.14,0.01,128040,8943.99 万,0.86,7.01,6.95,6.97,6.98,0.84,8.23,1.59,刀片电池
12,002824,和胜股份,28.78,-2.84,-0.84,477013,14.05 亿,11.48,31.83,28.43,30.83,29.62,21.68,66.98,3.96,刀片电池
