序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
2454,603633,徕木股份,8.16,1.24,0.1,225049.0,181193719.0,3.47,8.18,7.9,8.04,8.06,1.96,5.27,205.51,1.8,3482776275.0,3482776275.0,0.0,-0.12,-17.82,-19.45
2455,605155,西大门,15.57,1.24,0.19,25182.0,39015442.0,2.54,15.67,15.28,15.4,15.38,1.23,1.35,26.67,2.21,2978511417.0,2908919745.0,0.0,0.13,-16.56,-9.48
2456,603489,八方股份,34.42,1.24,0.42,31261.0,106931180.0,2.26,34.61,33.84,33.95,34.0,0.86,1.33,90.53,3.0,8075550837.0,8075550837.0,-0.09,-0.12,10.71,12.56
2457,002523,天桥起重,4.08,1.24,0.05,169975.0,68992326.26,1.99,4.09,4.01,4.03,4.03,1.06,1.2,50.88,2.31,5779894464.0,5759094147.0,0.0,0.0,-14.29,-4.9
2458,002217,合力泰,2.44,1.24,0.03,2012747.0,484740009.08,4.15,2.46,2.36,2.41,2.41,0.64,2.77,803.13,9.75,18249733384.0,17761546634.0,-0.41,0.0,-23.27,-20.0
2459,603161,科华控股,14.65,1.24,0.18,19658.0,28562863.0,2.49,14.71,14.35,14.5,14.47,0.97,1.03,26.14,1.91,2848072878.0,2794469188.0,0.07,-0.07,6.7,6.7
2460,688259,创耀科技,37.55,1.24,0.46,16691.0,62598527.0,2.83,37.8,36.75,37.08,37.09,1.01,1.49,52.92,2.64,4194335000.0,4194335000.0,0.0,-0.13,-13.68,-9.74
2461,300455,航天智装,25.22,1.24,0.31,135004.0,339768404.0,2.33,25.33,24.75,24.91,24.91,1.1,1.91,-100.6,10.87,18102107346.0,17871457836.0,-0.04,-0.04,-26.66,-16.05
2462,605011,杭州热电,19.52,1.24,0.24,39594.0,76682195.0,3.16,19.77,19.16,19.33,19.28,1.53,0.99,40.36,3.24,7809952000.0,7809952000.0,0.0,0.05,-6.02,-4.5
2463,002915,中欣氟材,21.28,1.24,0.26,41245.0,87711304.66,1.67,21.4,21.05,21.18,21.02,0.94,1.43,683.98,5.3,7134616462.0,6130233340.0,-0.05,-0.05,-9.83,-13.14
2464,000887,中鼎股份,18.83,1.24,0.23,146158.0,274595729.9,0.97,18.88,18.7,18.75,18.6,1.01,1.11,14.22,1.76,24789501936.0,24749598549.0,-0.05,-0.05,-18.13,-18.87
2465,000010,美丽生态,4.08,1.24,0.05,311719.0,125766753.0,4.96,4.13,3.93,4.12,4.03,0.79,3.59,-110.27,14.37,4690581351.0,3542019911.0,-0.24,-0.24,11.17,15.58
2466,600452,涪陵电力,12.29,1.24,0.15,333554.0,408050230.0,3.54,12.39,11.96,12.14,12.14,0.89,2.17,48.02,3.36,18884096928.0,18884096928.0,-0.08,-0.16,15.62,31.16
2467,605378,野马电池,20.48,1.24,0.25,22618.0,46268085.0,2.37,20.63,20.15,20.3,20.23,0.98,0.87,73.45,4.28,5352374272.0,5352374272.0,0.05,0.0,-10.45,-8.9
2468,603927,中科软,17.1,1.24,0.21,69358.0,118204559.0,1.36,17.13,16.9,16.9,16.89,1.14,0.83,61.48,4.52,14210784000.0,14210784000.0,0.0,-0.12,-17.43,-10.42
2469,688388,嘉元科技,49.2,1.23,0.6,245685.0,1193647416.0,4.4,49.5,47.36,49.17,48.6,0.76,5.39,379.18,3.02,22419150468.0,22419150468.0,-0.04,-0.28,13.05,20.06
