序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业,涨停价,涨速,振幅
1,圣阳股份,002580,6.0,16天8板,10.011872291564941,27.8,18.31 亿,125.75 亿,126.18 亿,14.820497512817383,220877644.0,093724,094124,3,电池,,,
2,博云新材,002297,4.0,4天4板,9.986320495605469,16.08,20.86 亿,92.16 亿,92.16 亿,22.644498825073242,230969887.0,092500,094715,4,航空装备,,,
3,盛视科技,002990,3.0,3天3板,9.997625350952148,46.32,10.81 亿,62.90 亿,121.29 亿,17.6329288482666,43582765.0,094439,132054,7,计算机设,,,
18,美利云,000815,1.0,首板,10.004953384399414,22.21,16.89 亿,154.42 亿,154.42 亿,11.142555236816406,302714348.0,093506,093506,0,IT服务Ⅱ,,,
26,大中矿业,001203,1.0,4天2板,10.00711441040039,46.39,8.76 亿,605.84 亿,711.20 亿,1.4791722297668457,131500062.0,094645,094645,0,冶钢原料,,,
32,大为股份,002213,1.0,3天2板,10.014347076416016,38.34,15.92 亿,79.19 亿,91.05 亿,20.999181747436523,83174796.0,095903,100724,2,半导体,,,
33,金圆股份,000546,1.0,首板,9.937888145446777,7.08,4.25 亿,49.33 亿,55.06 亿,8.879107475280762,64423744.0,100015,100015,0,环境治理,,,
40,奥瑞德,600666,1.0,首板,9.951845169067383,6.85,37.73 亿,171.40 亿,188.47 亿,22.8626708984375,275153368.0,102014,102014,0,光学光电,,,
42,南兴股份,002757,1.0,首板,9.990346908569336,22.79,6.44 亿,64.28 亿,67.33 亿,10.318408966064453,76561272.0,103203,103203,0,专用设备,,,
45,恒润股份,603985,1.0,首板,9.99551773071289,24.54,13.67 亿,108.19 亿,108.19 亿,13.07929801940918,70218756.0,103520,103602,1,风电设备,,,
52,特发信息,000070,1.0,首板,10.01059341430664,20.77,42.71 亿,184.58 亿,187.00 亿,23.917354583740234,40730800.0,110221,143200,9,通信设备,,,
71,西藏矿业,000762,1.0,首板,9.988144874572754,37.11,27.97 亿,193.27 亿,193.28 亿,14.911910057067871,63467859.0,134236,140018,9,能源金属,,,
75,润建股份,002929,1.0,4天2板,10.008424758911133,65.29,17.67 亿,137.48 亿,185.48 亿,13.45130729675293,133272690.0,141418,141418,0,通信服务,,,
79,德新科技,603032,1.0,首板,9.980138778686523,22.15,6.79 亿,51.31 亿,51.66 亿,13.68321418762207,52228858.0,144333,144333,0,电池,,,
1,哈药股份,600664,0.0,3天2板,-0.9009009003639221,4.4,28.33 亿,110.81 亿,110.81 亿,24.214052200317383,,093042,,1,化学制药,4.88,-0.4524887204170227,10.810811042785645
8,盛新锂能,002240,0.0,0天0板,7.629133224487305,49.8,43.07 亿,454.63 亿,455.82 亿,9.497762680053711,,100015,,2,能源金属,50.9,-0.20040079951286316,8.147828102111816
10,浙文互联,600986,0.0,0天0板,7.436398983001709,10.98,31.39 亿,163.31 亿,163.31 亿,19.389909744262695,,103432,,1,广告营销,11.24,0.0,8.904109954833984
12,利通电子,603629,0.0,3天2板,8.982376098632812,95.85,52.27 亿,246.19 亿,251.43 亿,21.634700775146484,,110251,,4,消费电子,96.75,-0.020861582830548286,10.005684852600098
22,中嘉博创,000889,0.0,7天5板,5.485232353210449,5.0,16.16 亿,43.49 亿,46.81 亿,38.88919448852539,,143300,,2,通信服务,5.21,0.0,17.510547637939453
