序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300390,天华新能,85.68,11.37,8.75,1062116,88.71 亿,14.97,88.88,77.36,78.69,76.93,15.8,176.98,6.27,锂矿概念
2,002213,大为股份,38.34,10.01,3.49,433753,15.92 亿,12.83,38.34,33.87,34.89,34.85,21.0,-582.85,16.72,锂矿概念
3,001203,大中矿业,46.39,10.01,4.22,193176,8.76 亿,8.77,46.39,42.69,43.01,42.17,1.48,89.82,10.92,锂矿概念
4,000762,西藏矿业,37.11,9.99,3.37,776613,27.97 亿,9.66,37.11,33.85,34.06,33.74,14.91,-639.75,6.61,锂矿概念
5,000546,金圆股份,7.08,9.94,0.64,618612,4.25 亿,9.78,7.08,6.45,6.45,6.44,8.88,-40.54,1.36,锂矿概念
6,600338,西藏珠峰,20.51,8.0,1.52,1211288,24.36 亿,7.42,20.58,19.17,19.34,18.99,13.25,32.21,4.3,锂矿概念
7,002240,盛新锂能,49.8,7.63,3.53,867059,43.07 亿,8.15,50.9,47.13,47.74,46.27,9.5,-51.33,4.45,锂矿概念
8,000688,国城矿业,46.73,7.47,3.25,285945,13.22 亿,8.62,47.68,43.93,43.94,43.48,2.41,51.44,21.29,锂矿概念
9,600673,东阳光,35.54,6.41,2.14,909676,32.07 亿,9.49,36.6,33.43,33.43,33.4,3.03,388.28,11.55,锂矿概念
10,002192,融捷股份,80.02,6.3,4.74,371898,29.40 亿,9.03,81.8,75.0,76.29,75.28,14.35,74.53,5.88,锂矿概念
11,002738,中矿资源,85.49,6.11,4.92,348328,29.56 亿,6.38,86.73,81.59,81.8,80.57,4.9,134.78,5.06,锂矿概念
12,000155,川能动力,16.94,5.94,0.95,1166975,19.62 亿,6.94,17.18,16.07,16.16,15.99,6.32,62.24,2.99,锂矿概念
13,002466,天齐锂业,65.32,5.7,3.52,917480,59.29 亿,7.54,66.66,62.0,62.55,61.8,6.22,240.91,2.53,锂矿概念
14,300750,宁德时代,453.98,5.33,22.98,635062,285.17 亿,6.26,460.0,433.02,441.0,431.0,1.49,24.98,5.8,锂矿概念
15,603799,华友钴业,65.91,5.02,3.15,948347,61.23 亿,4.45,65.94,63.15,63.32,62.76,5.03,12.51,2.48,锂矿概念
