排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,锂矿概念,BK1173,2455.25,100.81,4.28,48224.38 亿,3.37,33,4,大中矿业,10.01
2,刀片电池,BK0951,3600.97,138.32,3.99,11889.54 亿,4.57,11,1,德新科技,9.98
3,昨日连板_含一字,BK1051,6980.14,249.4,3.71,1695.15 亿,19.73,10,6,圣阳股份,10.01
4,东数西算,BK1064,2139.52,74.98,3.63,16392.86 亿,5.66,59,7,美利云,10.0
5,Kimi概念,BK1169,1346.41,46.71,3.59,5113.96 亿,7.6,13,2,北信源,11.41
