序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300308,中际旭创,1060.8,-6.66,405.60亿
2,603986,兆易创新,470.0,-1.16,368.26亿
3,300502,新易盛,508.8,-7.79,332.34亿
4,002384,东山精密,217.5,-5.84,294.11亿
5,000938,紫光股份,44.9,8.3,241.52亿
6,600584,长电科技,85.78,1.29,224.55亿
7,688008,澜起科技,223.0,1.55,205.31亿
8,002156,通富微电,74.9,8.08,186.36亿
9,000063,中兴通讯,37.5,7.51,179.89亿
10,688256,寒武纪,1310.0,-2.96,177.67亿
11,000977,浪潮信息,90.47,2.04,176.95亿
12,002371,北方华创,764.0,2.61,175.02亿
13,601899,紫金矿业,32.2,6.59,168.52亿
14,000725,京东方Ａ,6.04,-4.28,153.14亿
15,600487,亨通光电,55.12,-8.07,150.33亿
16,688012,中微公司,392.99,-3.65,137.34亿
17,688347,华虹宏力,390.06,-1.94,133.49亿
18,603019,中科曙光,102.15,4.36,129.02亿
19,688981,中芯国际,155.59,-2.76,125.42亿
20,002185,华天科技,18.42,0.38,124.68亿
