排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日打二板以上表现,BK1645,8505.11,771.86,9.98,264.03亿,41.97,2,0,立新能源,9.99
2,昨日连板_含一字,BK1051,30883.67,2034.82,7.05,490.00亿,6.6,5,0,立新能源,9.99
3,昨日连板,BK0816,20882.94,1239.48,6.31,377.85亿,5.9,4,0,立新能源,9.99
4,题材股,BK1717,1091.98,36.76,3.48,13944.84亿,11.71,10,4,立新能源,9.99
5,资源开采概念,BK1017,1541.83,45.73,3.06,4338.92亿,1.92,16,5,中曼石油,10.0
