序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,920079,N乔路铭,18.81,30.99,4.45,424728.0,772198211.15,55.57,23.78,15.8,15.8,14.36,,94.38,20.16,3.18,7830798624.0,846450000.0,-0.05,0.32,30.99,30.99
2,920305,云创退,1.3,30.0,0.3,306031.0,28445214.92,60.0,1.3,0.7,0.7,1.0,2.69,37.73,-7.66,0.36,172088963.0,105431138.0,0.0,0.0,-76.45,-87.12
3,300688,创业黑马,25.01,20.01,4.17,229121.0,553300258.4,22.22,25.01,20.38,20.51,20.84,2.12,15.44,-233.81,11.42,4186160395.0,3710945235.0,0.0,0.0,1.71,-14.32
4,300834,星辉环材,38.08,20.01,6.35,62049.0,221871275.09,17.71,38.08,32.46,32.46,31.73,2.22,3.23,88.09,2.58,7376566402.0,7311293512.0,0.0,0.0,-1.5,64.99
5,300779,惠城环保,69.12,20.0,11.52,261434.0,1727202706.27,19.13,69.12,58.1,58.63,57.6,2.12,11.51,2410.81,9.23,20549919214.0,15702132372.0,0.0,0.0,11.68,-25.66
6,301583,托伦斯,158.71,20.0,26.45,166478.0,2606820326.76,9.56,158.71,146.06,153.17,132.26,1.17,54.0,502.62,15.91,29436529657.0,4893247209.0,0.0,0.0,602.26,602.26
7,301234,五洲医疗,40.8,20.0,6.8,5386.0,21974880.0,0.0,40.8,40.8,40.8,34.0,0.35,1.34,86.15,3.67,2774400000.0,1638961010.0,0.0,0.0,2.41,-3.55
8,300105,龙源技术,10.2,17.51,1.52,909004.0,865880496.36,22.58,10.34,8.38,8.54,8.68,1.27,17.63,108.19,2.94,5261307084.0,5257823274.0,0.0,-0.49,58.88,45.51
9,300006,莱美药业,5.27,16.59,0.75,1094038.0,575144885.1,21.24,5.42,4.46,4.49,4.52,3.39,10.36,-92.67,3.2,5564652050.0,5564176132.0,-0.19,0.96,-15.14,2.53
10,688049,炬芯科技,42.7,15.09,5.6,229259.0,963448976.0,21.24,44.52,36.64,36.66,37.1,2.89,13.09,38.4,3.65,7479658655.0,7479658655.0,-0.05,-0.02,-8.47,-18.42
11,301165,锐捷网络,126.0,13.66,15.14,508909.0,6360850621.66,23.45,133.03,107.03,107.76,110.86,1.6,4.57,285.38,29.76,140318181738.0,140318181738.0,0.01,-0.58,92.22,99.84
12,300988,津荣天宇,15.49,13.56,1.85,162158.0,249513201.08,19.72,16.18,13.49,13.57,13.64,2.7,10.0,25.0,2.38,3050880954.0,2510953552.0,-0.32,-0.19,-20.93,-3.85
13,688166,博瑞医药,39.7,13.14,4.61,314526.0,1202448392.0,18.41,40.97,34.51,34.67,35.09,1.03,7.22,465.4,5.96,17301061143.0,17301061143.0,0.0,-0.43,-35.09,-19.05
14,301520,万邦医药,52.99,12.99,6.09,184885.0,924829686.99,21.51,54.13,44.04,45.7,46.9,1.06,56.54,-4714.94,3.3,4937151055.0,1732690495.0,0.11,0.26,82.22,87.84
15,920198,微创光电,8.2,12.48,0.91,133803.0,109963483.77,28.12,9.16,7.11,7.23,7.29,5.85,18.99,-15.96,3.23,1323183750.0,577821225.0,-0.24,-0.12,-6.71,-18.16
16,301191,菲菱科思,115.72,12.48,12.84,144325.0,1644183630.02,23.27,122.83,98.89,100.0,102.88,1.45,19.75,146.19,6.64,11212930098.0,8454240978.0,0.02,0.1,7.83,50.68
17,301030,*ST仕净,8.19,12.19,0.89,121752.0,91136879.71,16.85,8.19,6.96,7.09,7.3,1.01,6.02,-3.53,-4.17,1657519473.0,1655245765.0,1.36,3.54,-28.03,-30.77
18,301536,星宸科技,137.0,12.13,14.82,377893.0,5031314297.84,22.01,146.62,119.73,119.73,122.18,1.95,20.19,65.59,18.65,57774986784.0,25645476894.0,0.23,-0.5,65.0,129.83
19,300040,九洲集团,7.25,11.88,0.77,1525802.0,1061130216.83,18.52,7.45,6.25,6.25,6.48,2.03,29.49,45.41,1.79,4664725661.0,3750976326.0,0.14,0.83,-1.23,20.83
20,300875,捷强装备,30.22,11.72,3.17,84235.0,247740305.05,12.5,30.48,27.1,27.13,27.05,3.31,9.59,-99.92,3.55,3017006175.0,2653064237.0,-0.03,-0.07,-23.71,-25.36
21,688071,华依科技,35.11,11.71,3.68,65477.0,220787845.0,14.29,35.69,31.2,31.2,31.43,1.52,7.72,550.94,2.94,2976967210.0,2976967210.0,-0.14,0.03,7.3,5.85
22,300317,珈伟新能,4.8,11.63,0.5,1905596.0,866105373.31,15.58,4.84,4.17,4.21,4.3,1.57,22.99,387.14,2.81,3984904344.0,3978784344.0,0.0,0.0,-1.84,25.0
23,688620,安凯微,15.4,11.51,1.59,361313.0,540919548.0,19.19,16.23,13.58,13.6,13.81,1.56,9.22,-76.88,4.74,6036800000.0,6036800000.0,-0.06,-0.06,27.06,27.91
24,300818,耐普矿机,18.34,11.22,1.85,117799.0,210037827.47,14.25,18.68,16.33,16.46,16.49,2.78,8.29,-118.73,2.25,4023876421.0,2606651545.0,-0.11,0.44,-31.69,-36.89
25,688515,裕太微-U,156.17,11.17,15.69,77424.0,1196106498.0,19.9,164.9,136.95,137.68,140.48,1.62,15.54,-72.2,8.52,12493600000.0,7780295698.0,0.1,-0.34,20.73,52.29
26,300458,全志科技,41.71,11.14,4.18,1599134.0,6467213583.58,17.19,42.9,36.45,36.57,37.53,1.69,19.64,51.03,13.0,41444613827.0,33960600039.0,0.0,-0.12,21.5,19.65
27,688669,聚石化学,72.0,10.74,6.98,81863.0,578396365.0,14.2,74.25,65.02,65.02,65.02,1.5,6.75,-36.55,8.04,8736000048.0,8736000048.0,-0.44,-0.48,162.2,209.81
28,688046,药康生物,27.0,10.66,2.6,224417.0,610800596.0,18.24,28.85,24.4,24.6,24.4,1.0,5.47,58.75,5.03,11070000000.0,11070000000.0,-0.15,-0.66,39.46,77.98
29,301008,宏昌科技,30.44,10.45,2.88,88800.0,257877423.07,13.86,30.56,26.74,27.33,27.56,1.3,7.68,693.94,2.65,3986520843.0,3520103943.0,-0.29,0.16,-4.19,-11.69
30,300990,同飞股份,95.94,10.26,8.93,102737.0,970162773.92,20.37,102.52,84.8,86.5,87.01,1.03,13.21,68.7,7.79,16426519645.0,7460670485.0,0.0,-0.04,8.58,7.02
31,000595,新能股份,5.02,10.09,0.46,147706.0,73245207.0,10.53,5.02,4.54,4.54,4.56,0.64,1.3,725.18,11.81,5716054957.0,5716054957.0,0.0,0.0,-23.48,-10.2
32,300572,安车检测,18.9,10.08,1.73,149035.0,275342170.71,16.13,19.54,16.77,16.87,17.17,1.74,8.22,-208.97,2.69,4327888547.0,3426152442.0,0.0,-0.05,-33.52,-33.52
33,603162,海通发展,11.28,10.05,1.03,302643.0,334262424.0,10.24,11.28,10.23,10.34,10.25,0.61,7.17,14.82,3.18,15516938948.0,4758377918.0,0.0,0.0,18.36,39.78
34,603803,瑞斯康达,10.07,10.05,0.92,229218.0,222154564.0,12.68,10.07,8.91,8.96,9.15,1.15,5.39,156.33,2.78,4278577419.0,4278577419.0,0.0,0.0,-32.28,-9.2
35,603725,天安新材,13.48,10.04,1.23,400496.0,532151100.0,13.71,13.48,11.8,11.88,12.25,1.4,13.14,53.04,4.98,4109481526.0,4109481526.0,0.0,0.0,41.15,47.65
36,002953,日丰股份,9.86,10.04,0.9,177365.0,169831661.16,11.16,9.86,8.86,8.87,8.96,3.15,6.31,27.07,2.22,4846975329.0,2773507252.0,0.0,0.0,-17.49,-13.36
37,600403,大有能源,5.7,10.04,0.52,1484424.0,813834517.0,13.32,5.7,5.01,5.15,5.18,1.53,6.21,-9.23,4.08,13627630691.0,13627630691.0,0.0,0.0,-2.73,-18.34
38,600396,华电辽能,14.92,10.03,1.36,2472884.0,3552209731.0,14.9,14.92,12.9,12.98,13.56,1.02,16.79,34.83,14.32,21972785710.0,21972785710.0,0.0,0.0,51.78,423.51
39,002879,长缆科技,14.92,10.03,1.36,309016.0,448910913.06,7.89,14.92,13.85,14.48,13.56,6.53,22.53,531.57,1.71,2881165989.0,2046114193.0,0.0,0.0,-30.48,-17.48
40,000815,美利云,16.13,10.03,1.47,901930.0,1447901074.08,4.23,16.13,15.51,16.13,14.66,3.51,12.97,126.3,7.97,11214592755.0,11214592755.0,0.0,0.0,-20.81,44.15
41,605162,新中港,7.68,10.03,0.7,102641.0,76520873.0,12.32,7.68,6.82,6.87,6.98,0.78,2.32,70.03,2.14,3401059668.0,3401059668.0,0.0,0.0,-40.47,-8.35
42,002793,罗欣药业,4.94,10.02,0.45,437089.0,211419763.28,11.58,4.94,4.42,4.45,4.49,0.82,4.03,55.62,4.89,5372687121.0,5364512078.0,0.0,0.0,-12.26,2.92
43,605028,世茂能源,24.37,10.02,2.22,25046.0,59489555.0,10.34,24.37,22.08,22.14,22.15,0.47,1.57,325.14,3.05,3899200000.0,3899200000.0,0.0,0.0,-17.53,-15.79
44,002575,群兴玩具,4.83,10.02,0.44,153258.0,74023614.0,0.0,4.83,4.83,4.83,4.39,0.68,2.62,-836.08,3.53,2977695000.0,2822292165.0,0.0,0.0,-23.94,-21.84
45,002545,东方铁塔,18.13,10.01,1.65,311952.0,546889079.05,10.8,18.13,16.35,16.76,16.48,1.44,2.76,14.03,2.29,22554845565.0,20489868026.0,0.0,0.0,-15.87,-0.11
46,603988,中电电机,15.61,10.01,1.42,139638.0,210885417.0,11.49,15.61,13.98,14.0,14.19,2.73,5.94,203.91,5.6,3671472000.0,3671472000.0,0.0,0.0,-36.23,-35.66
47,000975,山金国际,22.52,10.01,2.05,935408.0,2073040805.6,6.94,22.52,21.1,21.21,20.47,1.63,3.71,11.2,3.85,62437317859.0,56823304379.0,0.0,0.0,-18.79,-5.58
48,603580,艾艾精工,40.03,10.0,3.64,164803.0,628228092.0,16.85,40.03,33.9,34.0,36.39,3.06,12.61,468.71,11.49,5230848196.0,5230848196.0,0.0,0.0,110.91,145.88
49,603893,瑞芯微,228.86,10.0,20.81,373172.0,8336664727.0,12.09,228.86,203.7,203.7,208.05,1.24,8.82,73.51,20.49,96795753407.0,96783394967.0,0.0,0.0,29.46,28.59
50,000839,国安股份,2.64,10.0,0.24,1720746.0,443642325.65,11.25,2.64,2.37,2.39,2.4,4.75,4.39,-804.67,6.66,10348341569.0,10348341569.0,0.0,0.0,-14.29,0.0
51,603619,中曼石油,21.34,10.0,1.94,477251.0,999681742.0,9.33,21.34,19.53,19.98,19.4,1.12,10.32,77.92,2.29,9866302758.0,9866302758.0,0.0,0.0,-35.82,-6.85
52,603629,利通电子,118.34,10.0,10.76,128258.0,1497269720.0,5.15,118.34,112.8,114.0,107.58,0.35,3.56,40.0,20.2,43398591520.0,42688007156.0,0.0,0.0,42.48,529.47
53,000838,*ST发展,2.31,10.0,0.21,483176.0,107578336.62,10.0,2.31,2.1,2.11,2.1,0.85,4.59,-44.1,-11.85,2542067613.0,2434199125.0,0.0,0.0,35.09,-25.24
54,002412,汉森制药,6.71,10.0,0.61,382806.0,247807565.51,10.49,6.71,6.07,6.09,6.1,0.95,7.69,21.98,1.49,3376472000.0,3340539950.0,0.0,0.0,9.11,9.82
55,603407,长裕集团,64.34,10.0,5.85,18894.0,121564318.0,0.0,64.34,64.34,64.34,58.49,0.42,5.26,117.64,12.73,26242692363.0,2310577565.0,0.0,0.0,364.21,364.21
56,002900,哈三联,11.0,10.0,1.0,91632.0,98234760.5,13.5,11.0,9.65,9.88,10.0,0.47,5.69,-123.28,1.97,3479900050.0,1772346400.0,0.0,0.0,3.19,-11.72
57,603296,华勤技术,87.67,10.0,7.97,281400.0,2418468436.0,7.74,87.67,81.5,82.5,79.7,0.82,3.52,31.33,5.22,132925382261.0,70012915791.0,0.0,0.0,19.56,37.07
58,002213,大为股份,27.49,10.0,2.5,88780.0,240189474.09,6.96,27.49,25.75,25.98,24.99,0.65,4.29,104.48,11.84,6530711607.0,5682675044.0,0.0,0.0,-19.46,5.81
59,600726,华电能源,6.6,10.0,0.6,3841359.0,2421314929.0,14.5,6.6,5.73,5.87,6.0,2.19,5.14,21.68,10.48,52188418986.0,49337218973.0,0.0,0.0,25.24,176.15
60,000603,盛达资源,22.57,9.99,2.05,418335.0,920227108.41,8.43,22.57,20.84,20.88,20.52,1.42,6.27,49.03,4.46,15572608139.0,15047788223.0,0.0,0.0,-41.09,-26.82
61,605196,华通线缆,29.63,9.99,2.69,262146.0,750409954.0,12.36,29.63,26.3,26.8,26.94,0.84,5.19,58.64,4.47,15140105723.0,14962047201.0,0.0,0.0,-34.05,-14.71
62,605155,西大门,12.77,9.99,1.16,33755.0,41401709.0,11.2,12.77,11.47,11.49,11.61,0.66,1.81,30.45,1.83,2442876737.0,2385799945.0,0.0,0.0,-15.6,-24.88
63,001258,立新能源,11.01,9.99,1.0,612309.0,663233556.73,6.59,11.01,10.35,10.9,10.01,0.83,6.56,405.19,3.4,10276000007.0,10275892660.0,0.0,0.0,15.29,55.51
