序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,603619,中曼石油,21.34,10.0,1.94,477251,10.00亿,9.33,21.34,19.53,19.98,19.4,10.32,77.92,2.29,资源开采概念
2,603979,金诚信,72.95,9.98,6.62,177959,12.78亿,8.99,72.96,67.0,67.0,66.33,2.85,18.91,4.12,资源开采概念
3,300164,通源石油,12.12,8.89,0.99,2218507,26.39亿,9.52,12.46,11.4,11.61,11.13,38.04,-138.21,5.18,资源开采概念
4,920088,科力股份,53.7,8.22,4.08,91471,4.99亿,8.89,56.99,52.58,54.64,49.62,28.09,271.9,6.83,资源开采概念
5,300191,潜能恒信,28.46,7.84,2.07,276856,7.73亿,7.69,28.87,26.84,27.18,26.39,12.52,74.65,7.99,资源开采概念
6,600871,石化油服,2.25,5.63,0.12,2899701,6.45亿,5.63,2.26,2.14,2.15,2.13,2.14,52.08,4.44,资源开采概念
7,300157,新锦动力,4.38,5.04,0.21,1116586,4.80亿,6.24,4.39,4.13,4.16,4.17,15.53,-20.14,-17.61,资源开采概念
8,600583,海油工程,5.52,3.37,0.18,538974,2.94亿,3.56,5.53,5.34,5.38,5.34,1.22,13.92,0.87,资源开采概念
9,600339,中油工程,3.4,3.34,0.11,963364,3.25亿,3.65,3.42,3.3,3.31,3.29,1.73,22.54,0.71,资源开采概念
10,601808,中海油服,12.38,3.08,0.37,341205,4.17亿,3.16,12.39,12.01,12.1,12.01,1.15,17.26,1.28,资源开采概念
11,600968,海油发展,3.87,2.93,0.11,492016,1.88亿,2.66,3.87,3.77,3.79,3.76,0.48,15.43,1.37,资源开采概念
12,002207,*ST准油,4.88,2.09,0.1,125537,6138.54万,5.65,5.02,4.75,4.75,4.78,4.81,-20.35,109.2,资源开采概念
13,601390,中国中铁,4.57,1.78,0.08,1604201,7.26亿,3.12,4.58,4.44,4.5,4.49,0.79,6.43,0.35,资源开采概念
14,002629,仁智股份,4.09,1.74,0.07,159626,6544.86万,4.98,4.16,3.96,3.97,4.02,4.41,-109.8,27.63,资源开采概念
15,002554,惠博普,2.77,1.09,0.03,182586,5057.15万,2.92,2.81,2.73,2.75,2.74,1.37,-34.02,1.93,资源开采概念
