序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,001258,立新能源,11.01,9.99,1.0,612309,6.63亿,6.59,11.01,10.35,10.9,10.01,6.56,405.19,3.4,题材股
2,600744,华银电力,7.94,9.97,0.72,3853539,29.00亿,14.68,7.94,6.88,6.88,7.22,18.97,29.12,12.51,题材股
3,002396,星网锐捷,34.59,9.43,2.98,2189242,73.50亿,14.77,34.77,30.1,30.16,31.61,28.9,176.67,3.83,题材股
4,000938,紫光股份,44.9,8.3,3.44,5378216,241.52亿,6.92,45.61,42.74,43.09,41.46,18.8,40.75,8.37,题材股
5,300795,米奥会展,14.34,7.74,1.03,529847,7.29亿,17.05,14.9,12.63,13.2,13.31,30.45,-43.41,7.55,题材股
6,600988,赤峰黄金,38.22,7.72,2.74,1084722,41.60亿,6.88,39.03,36.59,36.82,35.48,6.52,18.37,5.31,题材股
7,601991,大唐发电,6.95,4.98,0.33,8820822,60.12亿,11.33,7.07,6.32,6.35,6.62,7.12,11.11,3.49,题材股
8,600664,哈药股份,5.98,2.4,0.14,6386552,38.55亿,9.42,6.35,5.8,5.8,5.84,25.36,23.37,2.57,题材股
9,000977,浪潮信息,90.47,2.04,1.81,1907271,176.95亿,9.98,96.0,87.15,87.7,88.66,13.0,54.91,5.97,题材股
10,002036,联创电子,7.23,0.28,0.02,1236083,8.88亿,10.96,7.69,6.9,7.48,7.21,11.71,-19.75,7.92,题材股
11,000676,智度股份,6.92,0.0,0.0,2674280,17.95亿,14.31,7.23,6.24,6.49,6.92,21.24,47.24,2.04,题材股
12,688347,华虹宏力,390.06,-1.94,-7.72,339940,133.49亿,8.83,413.13,378.0,388.51,397.78,8.34,1214.18,14.98,题材股
13,603127,昭衍新药,48.06,-2.16,-1.06,717132,35.48亿,6.64,51.0,47.74,48.0,49.12,11.38,37.77,4.25,题材股
14,688361,中科飞测,357.0,-2.58,-9.46,159819,59.03亿,9.5,387.32,352.5,378.92,366.46,4.54,-462.33,24.5,题材股
15,300534,陇神戎发,13.26,-3.91,-0.54,978745,12.94亿,8.7,14.0,12.8,13.02,13.8,32.4,40.78,5.53,题材股
