序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,003004,声迅股份,-10.0,65.25,2.83亿,44.85亿,53.42亿,-182.6324005126953,6.12122106552124,117450,150000,29949750,1,6,计算机设
2,002909,集泰股份,-10.013350486755371,6.74,6.66亿,25.64亿,26.29亿,-96.16582489013672,25.65471839904785,894398,150000,553860912,2,18,化学制品
3,603321,梅轮电梯,-9.93197250366211,6.62,1.08亿,22.81亿,23.04亿,55.55279541015625,4.597340106964111,5090118,150000,15257776,1,8,专用设备
4,000930,中粮科技,-10.034013748168945,5.29,8.10亿,98.20亿,98.21亿,-29.005064010620117,8.156413078308105,29914304,140630,237336901,1,10,农产品加
5,002790,瑞尔特,-9.989258766174316,8.38,6.95亿,21.85亿,35.02亿,-165.55287170410156,30.626358032226562,32954383,143103,127235131,1,0,家居用品
6,002059,云南旅游,-10.035211563110352,5.11,6.59亿,50.61亿,51.74亿,-18.561981201171875,12.649686813354492,34257440,141721,465803748,2,1,旅游及景
7,002769,普路通,-10.027100563049316,6.64,1067.65万,24.77亿,24.79亿,76.62925720214844,0.4310605525970459,48031602,092500,85590928,1,0,物流
8,600706,曲江文旅,-9.989372253417969,8.47,3.17亿,21.52亿,21.60亿,158.5517120361328,14.169047355651855,53566821,100339,367772482,1,0,旅游及景
9,002161,远 望 谷,-9.950248718261719,7.24,7.95亿,53.55亿,53.56亿,-27.950471878051758,14.201177597045898,54761332,132209,161354671,1,11,其他电子
10,000523,红棉股份,-9.975062370300293,3.61,11.06亿,64.79亿,66.26亿,43.54524230957031,16.85748863220215,55324997,134651,1546951144,2,11,综合Ⅱ
11,600108,亚盛集团,-9.936574935913086,4.26,17.97亿,82.94亿,82.94亿,166.41795349121094,21.26997947692871,63887871,140038,4649351880,2,9,种植业
12,600712,南宁百货,-10.0,6.03,5.03亿,32.48亿,32.84亿,1158.5692138671875,15.418423652648926,81381458,112823,3087092267,1,5,一般零售
13,002295,精艺股份,-10.009016990661621,9.98,6286.30万,24.99亿,25.01亿,316.3349609375,2.5152647495269775,105361345,092500,294197426,2,0,工业金属
14,600354,敦煌种业,-10.027347564697266,9.87,9.87亿,52.09亿,52.09亿,18.004255294799805,18.798593521118164,110165485,134308,3345715969,1,7,种植业
15,600359,新农开发,-9.979423522949219,8.75,2.10亿,33.38亿,33.38亿,89.87701416015625,6.3003387451171875,241900645,093423,5315241846,1,1,种植业
16,605577,龙版传媒,-10.016068458557129,16.8,3455.26万,74.67亿,74.67亿,47.45079040527344,0.46275749802589417,357435170,092502,1205678880,1,0,出版
