序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,大普微-UW,301666,0天0板,19.182390213012695,379.0,381.6,33.52 亿,100.50 亿,1653.26 亿,33.769309997558594,0.0,093442,5,9.58804988861084,计算机设
2,兴森科技,002436,0天0板,6.351497650146484,29.47,30.48,63.21 亿,447.33 亿,500.89 亿,13.883340835571289,0.03394433110952377,094124,7,4.0418620109558105,元件
3,北京利尔,002392,0天0板,7.709012031555176,9.92,10.13,9.08 亿,114.83 亿,118.10 亿,7.849496841430664,0.0,094218,7,9.88056468963623,装修建材
4,平治信息,300571,0天0板,16.166854858398438,51.52,53.22,19.68 亿,59.58 亿,71.88 亿,33.00147247314453,0.0,094248,2,9.785794258117676,通信服务
5,博杰股份,002975,0天0板,9.132089614868164,120.46,121.42,14.06 亿,127.52 亿,193.10 亿,11.21798038482666,0.06645622104406357,094618,1,6.749411106109619,自动化设
6,狮头股份,600539,0天0板,6.605922222137451,18.72,19.32,6.68 亿,43.06 亿,43.06 亿,15.429648399353027,-0.05339028313755989,094624,3,11.104783058166504,互联网电
7,海光信息,688041,0天0板,16.256540298461914,344.41,355.5,212.40 亿,8005.25 亿,8005.25 亿,2.6506054401397705,0.0,094752,1,11.645569801330566,半导体
8,通化金马,000766,0天0板,2.959059476852417,25.4,27.14,15.15 亿,245.37 亿,245.49 亿,5.903286933898926,0.11824990063905716,095051,3,7.458451271057129,化学制药
9,德尔未来,002631,0天0板,8.871989250183105,8.59,8.68,5.88 亿,68.17 亿,68.49 亿,8.67216682434082,0.0,095221,4,12.1673002243042,家居用品
10,国机精工,002046,0天0板,7.048458099365234,55.89,57.43,13.87 亿,295.55 亿,299.68 亿,4.682692050933838,0.0,101018,1,9.634169578552246,通用设备
11,高乐股份,002348,0天0板,6.4690022468566895,11.85,12.24,5.77 亿,107.07 亿,112.24 亿,5.392700672149658,-0.08431703597307205,101024,1,11.500449180603027,文娱用品
12,四方股份,601126,0天0板,6.779661178588867,59.85,61.66,25.90 亿,493.81 亿,498.65 亿,5.223085403442383,0.0,101032,3,8.974130630493164,电网设备
13,苏州高新,600736,0天0板,7.607361793518066,8.77,8.97,18.15 亿,100.97 亿,100.97 亿,18.258577346801758,-0.45402953028678894,101037,1,10.79754638671875,房地产开
14,杰瑞股份,002353,0天0板,9.518247604370117,150.04,150.7,36.87 亿,1036.83 亿,1536.19 亿,3.578861713409424,-0.03331334516406059,101427,6,5.0,专用设备
15,亚翔集成,603929,0天0板,7.1747212409973145,201.81,207.13,15.82 亿,430.58 亿,430.58 亿,3.6820790767669678,0.0,101641,1,9.644185066223145,专业工程
16,博纳影业,001330,0天0板,4.836759567260742,8.67,9.1,17.99 亿,100.82 亿,119.17 亿,17.57969856262207,0.0,102227,1,9.068923950195312,影视院线
17,东南网架,002135,0天0板,6.698002815246582,9.08,9.36,10.59 亿,94.78 亿,101.29 亿,11.042263984680176,0.11025358736515045,102309,6,8.930669784545898,专业工程
18,渤海化学,600800,0天0板,6.971677303314209,4.91,5.05,5.43 亿,54.49 亿,54.50 亿,9.928227424621582,0.20408162474632263,102349,1,10.67538070678711,炼化及贸
19,欣锐科技,300745,0天0板,17.320261001586914,39.49,40.39,9.21 亿,56.20 亿,66.57 亿,16.481393814086914,0.0,103830,5,12.537137031555176,汽车零部
20,美诺华,603538,0天0板,9.670188903808594,68.5,68.71,37.69 亿,159.18 亿,162.10 亿,24.17545509338379,0.987763524055481,103955,15,9.686199188232422,化学制药
21,再升科技,603601,0天0板,5.552050590515137,16.73,17.44,50.35 亿,191.11 亿,191.11 亿,26.043519973754883,0.0,105023,1,9.085173606872559,专业工程
22,科林电气,603050,0天0板,8.847926139831543,23.62,23.87,5.28 亿,95.26 亿,95.26 亿,5.576935291290283,-0.04231908544898033,105325,18,8.617511749267578,电网设备
23,三安光电,600703,0天0板,7.388442039489746,14.68,15.04,48.40 亿,732.39 亿,732.39 亿,6.598160266876221,0.0681663304567337,105915,1,7.168982982635498,光学光电
24,亨通光电,600487,0天0板,9.284627914428711,71.8,72.27,135.41 亿,1755.64 亿,1770.87 亿,7.834785461425781,0.0,130237,1,7.2602739334106445,通信设备
25,南兴股份,002757,0天0板,9.283246994018555,25.31,25.48,16.74 亿,71.39 亿,74.78 亿,23.890104293823242,-0.23649980127811432,130354,3,8.031087875366211,专用设备
26,盈峰环境,000967,0天0板,10.022107124328613,14.93,14.93,42.73 亿,480.67 亿,480.90 亿,9.041417121887207,0.0,131409,22,7.958732604980469,环保设备
27,恒宝股份,002104,0天0板,6.816584587097168,15.2,15.65,13.63 亿,91.15 亿,107.67 亿,14.85454273223877,-0.06574622541666031,133509,3,8.924806594848633,通信设备
28,中集集团,000039,0天0板,7.828894138336182,13.36,13.63,15.67 亿,307.47 亿,720.44 亿,5.190548896789551,-0.07479431480169296,133818,4,11.299434661865234,通用设备
29,冰轮环境,000811,0天0板,8.376752853393555,27.04,27.45,14.62 亿,264.56 亿,268.37 亿,5.590803146362305,-0.03696857765316963,135033,1,9.018035888671875,通用设备
30,盛龙股份,001257,0天0板,9.724689483642578,24.71,24.77,9.63 亿,33.84 亿,453.66 亿,29.481388092041016,-0.04045307636260986,142118,3,9.991119384765625,小金属
