序号,名称,代码,连板数,涨停统计,涨跌幅,最新价,成交额,流通市值,总市值,换手率,封板资金,首次封板时间,最后封板时间,炸板次数,所属行业
1,兴业科技,002674,5,5天5板,9.987410545349121,26.21,7594.09万,76.68亿,77.46亿,0.9903485774993896,444306678,092500,092500,0,纺织制造
2,宏柏新材,605366,3,3天3板,10.016834259033203,13.07,1.95亿,101.01亿,101.01亿,1.9350801706314087,137211003,092503,092503,0,化学制品
3,太极实业,600667,2,5天3板,9.995654106140137,25.31,3.86亿,529.37亿,529.37亿,0.7293222546577454,898529702,092500,092500,0,工程咨询
4,返利科技,600228,2,2天2板,9.977578163146973,9.81,2295.15万,40.81亿,40.88亿,0.5623536109924316,197886339,092504,092504,0,数字媒体
5,亚翔集成,603929,2,6天3板,10.000862121582031,255.07,6.80亿,544.22亿,544.22亿,1.2531828880310059,137028450,092504,093234,1,专业工程
6,艾华集团,603989,2,7天6板,10.008187294006348,53.75,5.30亿,214.34亿,214.34亿,2.4905874729156494,87213191,093134,093313,2,元件
7,超声电子,000823,2,8天5板,9.991497039794922,25.87,12.65亿,153.91亿,153.91亿,8.323812484741211,155335587,093215,093215,0,元件
8,盛视科技,002990,2,8天4板,10.0,72.6,6.22亿,100.20亿,190.10亿,6.276633262634277,78072660,093136,100336,3,计算机设
9,火炬电子,603678,2,2天2板,10.0,75.13,11.09亿,357.29亿,357.29亿,3.129621982574463,212820450,093137,093234,1,军工电子
10,航锦科技,000818,2,2天2板,10.029717445373535,14.81,2.99亿,97.48亿,97.75亿,3.125211000442505,146041247,093203,093203,0,化学原料
11,航天电器,002025,2,2天2板,9.998498916625977,73.27,39.33亿,332.55亿,332.66亿,11.964653968811035,6425779,093830,144312,14,军工电子
12,美盈森,002303,2,2天2板,10.10362720489502,4.25,6.26亿,41.09亿,65.08亿,15.567251205444336,38712055,100018,101218,1,包装印刷
13,泰和新材,002254,2,14天7板,9.978190422058105,20.17,22.20亿,171.58亿,172.87亿,13.204188346862793,24019404,094215,134827,11,化学纤维
14,长电科技,600584,2,4天3板,10.0,104.17,123.21亿,1864.03亿,1864.03亿,6.690622329711914,877160776,093848,104536,3,半导体
15,中材科技,002080,2,12天6板,10.00236701965332,92.93,34.06亿,1559.48亿,1559.48亿,2.255688428878784,159030923,095215,095436,2,玻璃玻纤
16,兴发集团,600141,2,4天3板,10.009267807006836,47.48,55.00亿,570.59亿,570.59亿,10.078803062438965,30089263,132158,145225,19,农化制品
