序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,003013,地铁设计,-10.017995834350586,15.0,2.33亿,59.99亿,69.11亿,24.57763671875,3.6556334495544434,94500,150000,54600000,1,21,工程咨询
2,603716,塞力医疗,-9.988317489624023,15.41,3.33亿,34.79亿,34.79亿,-49.65182876586914,9.447148323059082,1176815,145623,74463966,1,6,医药商业
3,002072,凯瑞德,-10.022026062011719,8.17,1.86亿,30.03亿,30.04亿,-167.07901000976562,5.943730354309082,1540862,143845,15466627,1,6,贸易Ⅱ
4,603790,雅运股份,-9.980276107788086,22.82,1.64亿,43.67亿,43.67亿,29.816205978393555,3.670673131942749,3959954,130132,30853550,1,11,化学制品
5,002946,新乳业,-10.0,13.86,1.91亿,117.91亿,119.29亿,15.999855041503906,1.57334566116333,4414410,141530,21894640,1,13,饮料乳品
6,002354,天娱数科,-9.977578163146973,8.03,35.93亿,130.54亿,132.86亿,109.83610534667969,26.970441818237305,4482506,145448,574608080,1,22,广告营销
7,605566,福莱蒽特,-9.997716903686523,39.43,4.33亿,52.58亿,52.58亿,52.46953582763672,8.010492324829102,5047040,143126,125825073,2,6,化学制品
8,001211,双枪科技,-9.98178482055664,24.71,2.24亿,23.06亿,24.71亿,113.45404052734375,9.285282135009766,5481246,140048,11551925,1,0,家居用品
9,603177,德创环保,-9.948718070983887,8.78,1.43亿,17.93亿,17.93亿,-38.74200439453125,7.755299091339111,6025714,145143,50638650,1,30,环境治理
10,603578,三星新材,-10.014103889465332,12.76,8566.68万,23.01亿,29.87亿,-247.4539337158203,3.651484966278076,7216851,105426,29707828,1,14,家电零部
11,600719,大连热电,-9.989372253417969,8.47,4.31亿,34.27亿,34.27亿,9.032257080078125,12.287920951843262,7269801,141403,64270579,1,8,电力
12,002397,梦洁股份,-9.933774948120117,4.08,2.05亿,26.43亿,30.51亿,48.17133712768555,7.552968502044678,10067808,132942,45667848,1,14,服装家纺
13,002687,乔治白,-10.059171676635742,4.56,2.62亿,18.85亿,23.02亿,51.93490219116211,13.449954986572266,14673952,104027,77450466,1,4,服装家纺
14,603318,水发燃气,-9.980988502502441,9.47,8.75亿,43.47亿,52.53亿,249.2530975341797,19.870887756347656,18021410,143800,2648087961,2,7,燃气Ⅱ
15,002931,锋龙股份,-10.002689361572266,66.94,10.03亿,134.72亿,146.27亿,1103.6298828125,7.194072246551514,41728521,111118,111133788,1,4,通用设备
16,603201,常润股份,-9.989593505859375,17.3,1.02亿,32.59亿,32.87亿,24.912822723388672,3.1097066402435303,41729260,094418,60189464,2,6,汽车零部
17,688639,华恒生物,-20.0,17.12,2844.96万,42.82亿,42.82亿,25.429048538208008,0.6644033193588257,212420149,092503,500064451,1,0,化学制品
