序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,上海港湾,605598,2天1板,2.3679416179656982,39.34,42.27,7.69亿,95.60亿,95.60亿,7.709529876708984,0.0,093050,1,8.508976936340332,专业工程
2,航天工程,603698,2天1板,5.9689507484436035,39.59,41.1,24.68亿,212.20亿,212.20亿,11.343426704406738,-0.07571933418512344,093123,23,5.326552391052246,专用设备
3,快意电梯,002774,0天0板,3.134110927581787,14.15,15.09,3.02亿,39.87亿,47.64亿,7.429337501525879,0.07072135806083679,093227,1,10.058309555053711,专用设备
4,国机精工,002046,2天1板,7.805575370788574,75.41,76.95,40.71亿,399.81亿,404.34亿,10.091318130493164,-0.05301523953676224,093251,23,7.005003929138184,通用设备
5,盈峰环境,000967,2天1板,7.168784141540527,11.81,12.12,35.78亿,396.54亿,396.72亿,9.045472145080566,-0.08460237085819244,093309,2,7.894736289978027,环保设备
6,长裕集团,603407,8天6板,1.4577581882476807,91.87,99.61,17.04亿,32.99亿,374.71亿,50.448936462402344,0.0,093446,1,11.827718734741211,化学原料
7,盛剑科技,603324,6天3板,5.430463790893555,47.76,49.83,9.92亿,70.53亿,70.53亿,13.793050765991211,0.16778524219989777,093558,5,6.225165843963623,环保设备
8,光韵达,300227,0天0板,16.01027488708496,13.55,14.02,15.46亿,58.68亿,80.75亿,26.2729434967041,0.0,093645,4,18.578767776489258,自动化设
9,安洁科技,002635,0天0板,2.2739877700805664,18.44,19.83,11.31亿,72.94亿,121.65亿,15.041025161743164,-0.054200541228055954,093933,1,9.484192848205566,消费电子
10,时空科技,605178,0天0板,9.843571662902832,86.37,86.49,9.69亿,85.58亿,85.58亿,11.447526931762695,-0.057856976985931396,094124,27,10.44130802154541,专业工程
11,宁波富达,600724,0天0板,7.1929826736450195,6.11,6.27,2.78亿,88.29亿,88.30亿,3.2075634002685547,-0.16339869797229767,094217,1,12.63157844543457,房地产服
12,香江控股,600162,0天0板,-6.166219711303711,3.5,4.1,13.61亿,114.40亿,114.40亿,11.212603569030762,-0.2849002778530121,094918,1,18.766756057739258,房地产开
13,密尔克卫,603713,2天1板,10.004362106323242,75.65,75.65,9.28亿,119.62亿,119.62亿,7.89688777923584,0.0,095140,42,6.936164379119873,物流
14,恒通股份,603223,0天0板,4.363001823425293,11.96,12.61,5.43亿,84.42亿,84.42亿,6.337954521179199,0.0,095533,4,11.343804359436035,炼化及贸
15,金字火腿,002515,0天0板,9.330820083618164,11.6,11.67,16.23亿,127.81亿,140.43亿,12.950912475585938,-0.08613264560699463,100136,7,9.80207347869873,食品加工
16,嘉环科技,603206,0天0板,4.542807102203369,17.95,18.89,4.22亿,54.78亿,54.78亿,7.6216583251953125,0.0,100537,2,10.42516040802002,通信服务
17,祥龙电业,600769,0天0板,7.071713447570801,21.5,22.09,9.77亿,80.62亿,80.62亿,12.180269241333008,-0.046490006148815155,100657,15,11.155378341674805,环境治理
18,巨星科技,002444,0天0板,7.835051536560059,31.38,32.01,11.89亿,359.84亿,374.83亿,3.296705484390259,0.0,101445,1,9.518900871276855,通用设备
19,汇成真空,301392,0天0板,13.505000114440918,227.01,240.0,21.27亿,92.61亿,227.01亿,22.86830711364746,0.0,101657,1,19.94999885559082,专用设备
20,豫光金铅,600531,0天0板,7.9949235916137695,17.02,17.34,44.11亿,205.82亿,205.82亿,21.472963333129883,0.0,103011,21,10.40609073638916,工业金属
21,渤海汽车,600960,0天0板,5.655527114868164,4.11,4.28,1.77亿,39.07亿,39.07亿,4.5369553565979,-0.24271844327449799,103122,1,9.768637657165527,汽车零部
22,酒鬼酒,000799,0天0板,7.203601837158203,42.86,43.98,11.94亿,139.25亿,139.26亿,8.651901245117188,0.0,104012,2,10.855427742004395,白酒Ⅱ
23,安孚科技,603031,0天0板,8.074766159057617,57.82,58.85,22.29亿,181.78亿,216.16亿,12.396734237670898,0.01729804463684559,104605,1,10.168224334716797,电池
24,中信建投,601066,0天0板,6.599350929260254,29.56,30.5,45.11亿,1920.12亿,2292.88亿,2.3700296878814697,0.20338983833789825,112548,1,11.323476791381836,证券Ⅱ
25,宗申动力,001696,0天0板,7.948718070983887,25.26,25.74,34.95亿,225.17亿,289.23亿,15.707886695861816,0.11890606582164764,130533,4,10.854701042175293,通用设备
26,中国巨石,600176,2天1板,9.225547790527344,70.8,71.3,148.77亿,2834.22亿,2834.22亿,5.367069244384766,-0.2676433324813843,133122,11,8.701018333435059,玻璃玻纤
27,科瑞技术,002957,0天0板,7.3508524894714355,60.46,61.95,32.23亿,253.13亿,253.92亿,12.910748481750488,0.0,134539,4,9.53480052947998,自动化设
28,兴福电子,688545,0天0板,14.013605117797852,125.7,132.3,37.60亿,229.09亿,452.52亿,17.245302200317383,0.0,135105,4,24.126983642578125,电子化学
29,澄星股份,600078,0天0板,5.5939226150512695,15.29,15.93,16.27亿,101.31亿,103.48亿,16.596567153930664,0.06544502824544907,140043,1,16.643646240234375,农化制品
30,黄河旋风,600172,4天2板,6.842104911804199,18.27,18.81,68.12亿,233.17亿,263.49亿,31.45671844482422,0.0,144324,1,18.771930694580078,通用设备
31,科华数据,002335,0天0板,9.968766212463379,42.25,42.26,25.87亿,278.74亿,315.76亿,9.700148582458496,0.0,145333,2,11.34825611114502,其他电源
