序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688268,华特气体,176.8,20.0,29.47,155335,26.74 亿,13.36,176.8,157.11,157.11,147.33,12.95,156.74,11.5,氦气概念
2,603318,水发燃气,11.39,10.05,1.04,161384,1.84 亿,0.0,11.39,11.39,11.39,10.35,3.52,299.79,3.36,氦气概念
3,002549,凯美特气,19.98,6.28,1.18,1089925,22.15 亿,10.16,20.68,18.77,18.77,18.8,15.74,323.63,6.7,氦气概念
4,688106,金宏气体,36.12,5.0,1.72,838959,31.06 亿,13.66,39.6,34.9,35.5,34.4,15.72,146.14,5.86,氦气概念
5,002430,杭氧股份,31.67,3.84,1.17,426483,13.59 亿,8.98,33.0,30.26,30.71,30.5,4.36,32.65,3.17,氦气概念
6,301286,侨源股份,49.08,2.42,1.16,45445,2.29 亿,9.14,52.98,48.6,48.6,47.92,2.82,84.5,10.0,氦气概念
7,300435,中泰股份,23.43,0.56,0.13,276993,6.70 亿,10.34,25.33,22.92,23.24,23.3,7.51,53.1,2.61,氦气概念
8,688548,广钢气体,30.21,0.53,0.16,421505,13.02 亿,9.55,32.37,29.5,30.0,30.05,6.1,108.56,6.54,氦气概念
9,688596,正帆科技,32.28,0.47,0.15,63770,2.08 亿,3.08,33.05,32.06,32.09,32.13,2.17,-92.73,2.62,氦气概念
10,605090,九丰能源,45.79,-0.33,-0.15,528320,24.99 亿,8.58,49.7,45.76,45.97,45.94,7.5,18.59,2.75,氦气概念
11,000811,冰轮环境,22.22,-0.94,-0.21,381094,8.46 亿,3.66,22.6,21.78,22.43,22.43,3.9,39.07,3.46,氦气概念
12,002971,和远气体,33.3,-1.71,-0.58,202742,6.88 亿,8.65,35.05,32.12,33.12,33.88,12.96,97.7,3.9,氦气概念
13,002639,雪人集团,18.04,-1.8,-0.33,413968,7.49 亿,3.27,18.46,17.86,18.11,18.37,6.36,266.9,5.56,氦气概念
14,600759,洲际油气,5.17,-2.08,-0.11,4093022,21.41 亿,6.06,5.42,5.1,5.27,5.28,9.88,193.65,2.44,氦气概念
15,300540,蜀道装备,29.45,-4.13,-1.27,376379,11.45 亿,10.77,32.21,28.9,30.36,30.72,18.21,112.52,5.97,氦气概念
