序号,代码,名称,涨跌幅,最新价,成交额,流通市值,总市值,动态市盈率,换手率,封单资金,最后封板时间,板上成交额,连续跌停,开板次数,所属行业
1,603236,移远通信,-9.996471405029297,76.53,14.18 亿,200.25 亿,220.27 亿,38.96486282348633,7.028935432434082,2946405,145502,224968723,1,12,通信设备
2,002891,中宠股份,-9.992945671081543,38.28,9.22 亿,123.22 亿,123.22 亿,42.13682174682617,7.351325988769531,3523482,144742,214660217,1,34,饲料
3,600966,博汇纸业,-9.985315322875977,6.13,2.66 亿,81.95 亿,81.95 亿,36.99744415283203,3.1867616176605225,4090549,144315,39888523,1,6,造纸
4,603456,九洲药业,-9.97581672668457,14.89,5.45 亿,132.44 亿,132.44 亿,19.240365982055664,4.098832130432129,5527957,142958,225617356,1,13,医疗服务
5,002322,理工能科,-10.007046699523926,12.77,2.91 亿,44.87 亿,46.68 亿,50.456817626953125,6.416587829589844,12076589,144739,66880321,1,13,软件开发
6,603202,天有为,-9.995786666870117,85.45,3.08 亿,42.91 亿,136.72 亿,26.930850982666016,7.140784740447998,12873811,132435,2089839188,1,18,汽车零部
7,603687,大胜达,-10.021552085876465,16.7,16.28 亿,91.86 亿,91.86 亿,119.11228942871094,17.335460662841797,16120510,150000,123087350,1,2,包装印刷
8,603959,百利科技,-10.0,5.31,2.01 亿,26.03 亿,26.03 亿,-16.863544464111328,7.564404487609863,17074687,100144,684790895,1,2,专业工程
9,600603,广汇物流,-9.925926208496094,6.08,1.19 亿,72.55 亿,72.55 亿,123.27994537353516,1.6262353658676147,17182858,094323,172041504,1,3,物流
10,603325,博隆技术,-10.0,69.3,1.74 亿,23.69 亿,55.44 亿,42.1544075012207,7.295101165771484,20722709,110718,607690701,1,6,专用设备
11,002478,常宝股份,-9.97352123260498,10.2,5.63 亿,73.72 亿,91.88 亿,34.32975387573242,7.5964155197143555,20933460,112315,753586040,1,24,特钢Ⅱ
12,603991,至正股份,-10.0,108.18,6.02 亿,80.63 亿,165.20 亿,81.03897094726562,7.321797847747803,32010462,141452,124428636,1,12,塑料
13,603097,江苏华辰,-10.003059387207031,29.42,1.09 亿,47.08 亿,48.59 亿,9312.7685546875,2.300487756729126,37751744,094255,356440952,1,4,电网设备
14,002149,西部材料,-9.995336532592773,57.9,59.12 亿,282.63 亿,282.68 亿,306.12774658203125,20.35064697265625,42754749,144342,744444205,1,9,小金属
15,002394,联发股份,-9.96363639831543,12.38,6634.94 万,40.00 亿,40.07 亿,89.45082092285156,1.658634066581726,61323104,092500,253038534,1,0,纺织制造
16,002624,完美世界,-9.989484786987305,17.12,22.03 亿,312.91 亿,332.12 亿,37.42771911621094,6.995789051055908,70074026,142809,2702944195,1,17,游戏Ⅱ
17,002691,冀凯股份,-9.956075668334961,6.15,1097.10 万,20.66 亿,20.91 亿,-34.20337677001953,0.5309537649154663,82829559,092500,109535805,1,0,专用设备
18,002081,金 螳 螂,-9.944750785827637,4.89,24.32 亿,129.32 亿,129.85 亿,25.522903442382812,18.283309936523438,86688477,141439,776925978,1,7,装修装饰
19,002229,鸿博股份,-10.021322250366211,16.88,9.54 亿,83.24 亿,83.76 亿,-66.06269836425781,11.441729545593262,157627786,094721,2237824890,1,4,包装印刷
20,002429,兆驰股份,-10.0,11.79,6.45 亿,533.42 亿,533.73 亿,63.6505012512207,1.2086092233657837,861390451,092500,6290087616,1,0,黑色家电
