序号,名称,代码,涨停统计,涨跌幅,最新价,涨停价,成交额,流通市值,总市值,换手率,涨速,首次封板时间,炸板次数,振幅,所属行业
1,苏州高新,600736,4天3板,1.553166151046753,8.5,9.21,29.19 亿,97.86 亿,97.86 亿,28.003835678100586,-0.23474179208278656,093030,5,8.482675552368164,房地产开
2,华盛昌,002980,0天0板,8.41897201538086,82.29,83.49,21.03 亿,83.43 亿,155.86 亿,25.83780860900879,-0.012150667607784271,093042,2,11.844532012939453,电网设备
3,国创高新,002377,0天0板,1.5576324462890625,3.26,3.53,3.53 亿,28.44 亿,29.87 亿,12.061864852905273,0.3076923191547394,093121,1,9.657320976257324,炼化及贸
4,广合科技,001389,0天0板,1.318446397781372,170.6,185.22,31.20 亿,259.29 亿,806.04 亿,11.664325714111328,0.046915315091609955,093233,1,10.345646858215332,元件
5,三元股份,600429,0天0板,6.371681213378906,6.01,6.22,2.76 亿,90.00 亿,90.28 亿,3.02256178855896,-0.1661129593849182,093522,1,11.504425048828125,饮料乳品
6,京能置业,600791,0天0板,7.241659641265869,13.18,13.52,7.28 亿,59.61 亿,59.69 亿,12.081875801086426,0.0,093605,4,10.414971351623535,房地产开
7,凯美特气,002549,0天0板,6.276595592498779,19.98,20.68,22.15 亿,138.33 亿,138.93 亿,15.7421875,0.0,093721,2,10.159574508666992,化学制品
8,宝光股份,600379,0天0板,5.564648151397705,12.9,13.44,4.14 亿,42.60 亿,42.60 亿,9.571854591369629,-0.15479876101016998,093753,2,11.702127456665039,电网设备
9,泰晶科技,603738,0天0板,7.594594478607178,39.81,40.7,37.03 亿,153.62 亿,153.62 亿,24.028371810913086,0.02512562833726406,095139,2,9.324323654174805,元件
10,宏辉果蔬,603336,0天0板,4.155124664306641,11.28,11.91,6.40 亿,68.66 亿,68.66 亿,9.097244262695312,-0.08857395499944687,095508,1,10.156970977783203,种植业
11,圣达生物,603079,0天0板,3.435804605484009,17.16,18.25,1.66 亿,32.44 亿,32.44 亿,5.081459999084473,-0.23255813121795654,095750,1,10.54852294921875,化学制品
12,泸天化,000912,0天0板,6.477733135223389,5.26,5.43,9.02 亿,82.48 亿,82.48 亿,10.876509666442871,0.0,100236,1,9.514169692993164,农化制品
13,赤天化,600227,0天0板,7.6086955070495605,3.96,4.05,14.08 亿,50.59 亿,66.87 亿,28.19670295715332,0.0,100307,1,14.130434036254883,农化制品
14,大连电瓷,002606,2天1板,5.1724138259887695,14.03,14.67,20.38 亿,59.09 亿,61.60 亿,33.81410598754883,-0.07122506946325302,101654,5,6.5217390060424805,电网设备
15,宇晶股份,002943,0天0板,7.5168023109436035,60.79,62.19,15.13 亿,88.52 亿,124.94 亿,17.21767234802246,0.0,102415,1,10.930315017700195,通用设备
16,舒华体育,605299,0天0板,5.600403785705566,20.93,21.8,12.55 亿,85.65 亿,85.65 亿,14.518087387084961,-0.1907486915588379,103256,1,11.049445152282715,文娱用品
17,鲁信创投,600783,0天0板,4.428044319152832,22.64,23.85,15.38 亿,168.52 亿,168.52 亿,9.056756019592285,0.0,104613,1,9.963099479675293,通用设备
18,怡达股份,300721,2天1板,18.711135864257812,21.0,21.23,10.97 亿,29.05 亿,34.62 亿,42.12399673461914,0.0,140203,1,23.06387710571289,化学制品
19,德龙汇能,000593,2天1板,7.077393054962158,21.03,21.6,10.35 亿,75.39 亿,75.42 亿,14.193622589111328,0.6220095753669739,142730,1,10.1323823928833,燃气Ⅱ
20,天齐锂业,002466,0天0板,8.430190086364746,73.7,74.77,96.68 亿,1087.52 亿,1257.50 亿,9.155646324157715,0.013570362702012062,143500,1,10.548770904541016,能源金属
