序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,688633,星球石墨,33.6,20.0,5.6,131821,4.22 亿,14.36,33.6,29.58,30.0,28.0,9.17,16.48,2.73,磷化工
2,600331,宏达股份,18.24,7.74,1.31,894836,15.80 亿,9.51,18.44,16.83,16.95,16.93,4.4,-648.41,15.29,磷化工
3,300919,中伟新材,61.38,7.5,4.28,364932,22.01 亿,6.73,61.98,58.14,58.14,57.1,4.0,40.82,2.73,磷化工
4,002556,辉隆股份,6.72,6.84,0.43,408259,2.68 亿,10.49,6.89,6.23,6.25,6.29,4.32,32.84,1.77,磷化工
5,000830,鲁西化工,17.02,5.32,0.86,642020,10.70 亿,6.37,17.04,16.01,16.08,16.16,3.37,23.76,1.7,磷化工
6,600078,澄星股份,13.35,4.95,0.63,373607,4.91 亿,8.02,13.56,12.54,12.54,12.72,5.64,1066.49,5.41,磷化工
7,600096,云天化,35.67,4.91,1.67,840330,29.42 亿,5.71,35.7,33.76,33.8,34.0,4.61,12.61,2.65,磷化工
8,002759,天际股份,33.41,4.57,1.46,486034,16.03 亿,6.35,33.66,31.63,31.78,31.95,9.7,203.83,5.1,磷化工
9,920809,安达科技,8.18,4.34,0.34,259655,2.09 亿,5.48,8.26,7.83,7.89,7.84,5.66,-19.13,3.13,磷化工
10,600691,潞化科技,3.38,4.0,0.13,1479444,5.01 亿,7.69,3.51,3.26,3.27,3.25,6.23,-9.73,2.55,磷化工
11,600470,六国化工,7.07,3.36,0.23,650167,4.59 亿,7.02,7.26,6.78,6.8,6.84,12.46,-8.09,2.29,磷化工
12,002386,天原股份,6.84,3.32,0.22,867235,5.86 亿,5.29,6.91,6.56,6.58,6.62,6.66,101.42,1.18,磷化工
13,002539,云图控股,14.69,3.31,0.47,334875,4.88 亿,5.98,14.94,14.09,14.17,14.22,3.76,21.45,1.89,磷化工
14,000833,粤桂股份,25.79,3.28,0.82,493278,12.78 亿,5.65,26.6,25.19,26.01,24.97,10.87,23.98,4.98,磷化工
15,300505,川金诺,26.13,2.67,0.68,251694,6.56 亿,5.15,26.63,25.32,25.43,25.45,11.58,43.63,2.43,磷化工
