序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,002407,多氟多,33.04,9.99,3.0,1992115,63.42 亿,9.62,33.04,30.15,30.54,30.04,18.47,26.18,4.48,PVDF概念
2,603659,璞泰来,36.71,6.78,2.33,907075,32.50 亿,8.52,37.12,34.19,34.8,34.38,4.25,27.85,3.74,PVDF概念
3,603978,深圳新星,25.49,5.11,1.24,136651,3.44 亿,7.34,25.84,24.06,24.25,24.25,6.47,-65.27,3.56,PVDF概念
4,600160,巨化股份,35.05,4.28,1.44,482383,16.64 亿,5.27,35.33,33.56,33.67,33.61,1.79,25.01,4.63,PVDF概念
5,603379,三美股份,63.61,4.13,2.52,93920,5.87 亿,5.22,64.0,60.81,61.0,61.09,1.54,18.31,5.1,PVDF概念
6,600378,昊华科技,35.25,3.19,1.09,201619,7.11 亿,6.85,36.19,33.85,34.3,34.16,1.88,31.48,2.5,PVDF概念
7,300343,ST联创,6.72,2.75,0.18,180027,1.20 亿,3.52,6.72,6.49,6.5,6.54,1.69,220.59,3.67,PVDF概念
8,605020,永和股份,26.8,1.52,0.4,109840,2.95 亿,2.77,27.08,26.35,26.5,26.4,2.18,18.98,2.31,PVDF概念
9,002068,黑猫股份,8.65,1.41,0.12,111166,9578.30 万,2.93,8.72,8.47,8.5,8.53,1.51,-13.73,2.62,PVDF概念
10,300332,天壕能源,5.67,1.25,0.07,403309,2.27 亿,4.11,5.71,5.48,5.53,5.6,4.86,45.99,1.27,PVDF概念
11,300236,上海新阳,86.43,1.21,1.03,144821,12.61 亿,4.1,88.5,85.0,86.29,85.4,5.2,90.08,5.26,PVDF概念
12,300056,中创环保,9.39,0.97,0.09,449646,4.03 亿,15.27,9.78,8.36,9.11,9.3,11.67,-58.09,24.53,PVDF概念
13,300041,回天新材,11.34,0.89,0.1,138200,1.56 亿,2.05,11.38,11.15,11.22,11.24,2.54,28.76,2.16,PVDF概念
14,300281,金明精机,6.87,0.73,0.05,51616,3504.67 万,3.37,6.91,6.68,6.79,6.82,1.3,-825.33,2.32,PVDF概念
15,600623,华谊集团,9.75,-0.81,-0.08,181244,1.79 亿,3.05,10.05,9.75,9.81,9.83,0.97,37.31,0.93,PVDF概念
