序号,代码,名称,最新价,涨跌幅,成交额(亿元)
1,300502,新易盛,537.27,-11.67,501.03 亿
2,300308,中际旭创,886.99,-1.12,339.62 亿
3,002384,东山精密,187.9,0.66,221.25 亿
4,300394,天孚通信,323.87,-7.49,180.56 亿
5,300750,宁德时代,444.9,1.37,175.17 亿
6,601138,工业富联,65.01,-4.28,172.69 亿
7,002475,立讯精密,66.0,-2.61,172.51 亿
8,688256,寒武纪,1352.5,2.23,167.61 亿
9,300476,胜宏科技,315.59,-4.93,165.24 亿
10,600487,亨通光电,69.54,0.03,153.10 亿
11,688041,海光信息,285.0,8.2,152.61 亿
12,300136,信维通信,81.3,-2.53,126.80 亿
13,300058,蓝色光标,17.4,-8.42,114.27 亿
14,688808,N联讯,799.0,875.82,114.13 亿
15,002281,光迅科技,128.7,-2.26,110.75 亿
16,300475,香农芯创,162.05,3.62,108.69 亿
17,002428,云南锗业,77.12,0.31,106.47 亿
18,603986,兆易创新,297.7,-2.33,104.36 亿
19,688008,澜起科技,163.5,2.38,102.59 亿
20,688981,中芯国际,110.96,4.7,99.80 亿
