序号,代码,名称,最新价,涨跌额,涨跌幅,昨收,今开,最高,最低,成交量,成交额,成交额(亿元)
1,sh000001,上证指数,4079.9004,-13.35,-0.326,4093.2501,4081.0326,4092.6131,4061.1453,605031798.0,1143000195131,11430.00 亿
2,sz399001,深证成指,14940.301,-103.148,-0.686,15043.449,14951.741,15033.671,14795.221,70972943878.0,1498859076721,14988.59 亿
3,Total,沪深总成交额,,,,,,,,,2641859271852,26418.59 亿
