排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,锂矿概念,BK1173,2523.4,91.08,3.74,47780.33 亿,3.79,29,8,江特电机,10.02
2,氦气概念,BK0949,3153.39,78.21,2.54,2721.23 亿,8.53,9,6,水发燃气,10.05
3,PVDF概念,BK1012,1309.53,31.39,2.46,4933.65 亿,3.68,14,2,多氟多,9.99
4,磷化工,BK1010,1101.43,23.86,2.21,13284.61 亿,2.98,37,9,星球石墨,20.0
5,2026—季报扭亏,BK1682,1024.09,21.49,2.14,4764.08 亿,6.7,8,3,龙蟠科技,6.93
